	barcode	doses
3146401	X153_0	0
3167101	X154_0	0
3187801	X155_0	0
3208501	X156_0	0
3229201	X157_0	0
3249901	X158_0	0
3270601	X159_0	0
3291301	X160_0	0
3312001	X161_0	0
3332701	X162_0	0
3353401	X163_0	0
3374101	X164_0	0
3394801	X165_0	0
3415501	X166_0	0
3436201	X167_0	0
3456901	X168_0	0
3477601	X169_0	0
3498301	X170_0	0
3519001	X171_0	0
3539701	X172_0	0
3560401	X173_0	0
3581101	X174_0	0
3601801	X175_0	0
3622501	X176_0	0
3643201	X177_0	0
3663901	X178_0	0
3684601	X179_0	0
3705301	X180_0	0
3726001	X181_0	0
3746701	X182_0	0
3767401	X183_0	0
3788101	X184_0	0
3808801	X185_0	0
3829501	X186_0	0
3850201	X187_0	0
3870901	X188_0	0
3891601	X189_0	0
3912301	X190_0	0
3933001	X191_0	0
3953701	X192_0	0
3974401	X193_0	0
3995101	X194_0	0
4015801	X195_0	0
4036501	X196_0	0
4057201	X197_0	0
4077901	X198_0	0
4098601	X199_0	0
4119301	X200_0	0
4140001	X201_0	0
4160701	X202_0	0
4181401	X203_0	0
4202101	X204_0	0
4222801	X205_0	0
4243501	X206_0	0
4264201	X207_0	0
4284901	X208_0	0
4305601	X209_0	0
4326301	X210_0	0
4347001	X211_0	0
4367701	X212_0	0
4388401	X213_0	0
4409101	X214_0	0
4429801	X215_0	0
4450501	X216_0	0
4471201	X217_0	0
4491901	X218_0	0
4512601	X219_0	0
4533301	X220_0	0
4554001	X221_0	0
4574701	X222_0	0
4595401	X223_0	0
4616101	X224_0	0
4636801	X225_0	0
4657501	X226_0	0
4678201	X227_0	0
4698901	X228_0	0
4719601	X229_0	0
4740301	X230_0	0
4761001	X231_0	0
4781701	X232_0	0
4802401	X233_0	0
4823101	X234_0	0
4843801	X235_0	0
4864501	X236_0	0
4885201	X237_0	0
4905901	X238_0	0
4926601	X239_0	0
4947301	X240_0	0
4968001	X241_0	0
4988701	X242_0	0
5009401	X243_0	0
5030101	X244_0	0
5050801	X245_0	0
5071501	X246_0	0
5092201	X247_0	0
5112901	X248_0	0
5133601	X249_0	0
5154301	X250_0	0
5175001	X251_0	0
5195701	X252_0	0
5216401	X253_0	0
5237101	X254_0	0
5257801	X255_0	0
5278501	X256_0	0
5299201	X257_0	0
5319901	X258_0	0
5340601	X259_0	0
5361301	X260_0	0
5382001	X261_0	0
5402701	X262_0	0
5423401	X263_0	0
5444101	X264_0	0
5464801	X265_0	0
5485501	X266_0	0
5506201	X267_0	0
5526901	X268_0	0
5547601	X269_0	0
5568301	X270_0	0
5589001	X271_0	0
5609701	X272_0	0
5630401	X273_0	0
5651101	X274_0	0
5671801	X275_0	0
5692501	X276_0	0
5713201	X277_0	0
5733901	X278_0	0
5754601	X279_0	0
5775301	X280_0	0
5796001	X281_0	0
5816701	X282_0	0
5837401	X283_0	0
5858101	X284_0	0
5878801	X285_0	0
5899501	X286_0	0
5920201	X287_0	0
5940901	X288_0	0
5961601	X289_0	0
5982301	X290_0	0
6003001	X291_0	0
6023701	X292_0	0
6044401	X293_0	0
6065101	X294_0	0
6085801	X295_0	0
6106501	X296_0	0
6127201	X297_0	0
6147901	X298_0	0
6168601	X299_0	0
6189301	X300_0	0
6210001	X301_0	0
6230701	X302_0	0
6251401	X303_0	0
6272101	X304_0	0
6292801	X305_0	0
6313501	X306_0	0
6334201	X307_0	0
6354901	X308_0	0
6375601	X309_0	0
6396301	X310_0	0
6417001	X311_0	0
6437701	X312_0	0
6458401	X313_0	0
6479101	X314_0	0
6499801	X315_0	0
6520501	X316_0	0
6541201	X317_0	0
6561901	X318_0	0
6582601	X319_0	0
6603301	X320_0	0
6624001	X321_0	0
6644701	X322_0	0
6665401	X323_0	0
6686101	X324_0	0
6706801	X325_0	0
6727501	X326_0	0
6748201	X327_0	0
6768901	X328_0	0
6789601	X329_0	0
6810301	X330_0	0
6831001	X331_0	0
6851701	X332_0	0
6872401	X333_0	0
6893101	X334_0	0
6913801	X335_0	0
6934501	X336_0	0
6955201	X337_0	0
6975901	X338_0	0
6996601	X339_0	0
7017301	X340_0	0
7038001	X341_0	0
7058701	X342_0	0
7079401	X343_0	0
7100101	X344_0	0
7120801	X345_0	0
7141501	X346_0	0
7162201	X347_0	0
7182901	X348_0	0
7203601	X349_0	0
7224301	X350_0	0
7245001	X351_0	0
7265701	X352_0	0
7286401	X353_0	0
7307101	X354_0	0
7327801	X355_0	0
7348501	X356_0	0
7369201	X357_0	0
7389901	X358_0	0
7410601	X359_0	0
7431301	X360_0	0
7452001	X361_0	0
7472701	X362_0	0
7493401	X363_0	0
7514101	X364_0	0
7534801	X365_0	0
7555501	X366_0	0
7576201	X367_0	0
7596901	X368_0	0
7617601	X369_0	0
7638301	X370_0	0
7659001	X371_0	0
7679701	X372_0	0
7700401	X373_0	0
7721101	X374_0	0
7741801	X375_0	0
7762501	X376_0	0
7783201	X377_0	0
7803901	X378_0	0
7824601	X379_0	0
7845301	X380_0	0
7866001	X381_0	0
7886701	X382_0	0
7907401	X383_0	0
7928101	X384_0	0
7948801	X385_0	0
7969501	X386_0	0
7990201	X387_0	0
8010901	X388_0	0
8031601	X389_0	0
8052301	X390_0	0
8073001	X391_0	0
8093701	X392_0	0
8114401	X393_0	0
8135101	X394_0	0
8155801	X395_0	0
8176501	X396_0	0
8197201	X397_0	0
8217901	X398_0	0
8238601	X399_0	0
8259301	X400_0	0
8280001	X401_0	0
8300701	X402_0	0
8321401	X403_0	0
8342101	X404_0	0
8362801	X405_0	0
8383501	X406_0	0
8404201	X407_0	0
8424901	X408_0	0
8445601	X409_0	0
8466301	X410_0	0
8487001	X411_0	0
8507701	X412_0	0
8528401	X413_0	0
8549101	X414_0	0
8569801	X415_0	0
8590501	X416_0	0
8611201	X417_0	0
8631901	X418_0	0
8652601	X419_0	0
8673301	X420_0	0
8694001	X421_0	0
8714701	X422_0	0
8735401	X423_0	0
8756101	X424_0	0
8776801	X425_0	0
8797501	X426_0	0
8818201	X427_0	0
8838901	X428_0	0
8859601	X429_0	0
8880301	X430_0	0
8901001	X431_0	0
8921701	X432_0	0
8942401	X433_0	0
8963101	X434_0	0
8983801	X435_0	0
9004501	X436_0	0
9025201	X437_0	0
9045901	X438_0	0
9066601	X439_0	0
9087301	X440_0	0
9108001	X441_0	0
9128701	X442_0	0
9149401	X443_0	0
9170101	X444_0	0
9190801	X445_0	0
9211501	X446_0	0
9232201	X447_0	0
9252901	X448_0	0
9273601	X449_0	0
9294301	X450_0	0
9315001	X451_0	0
9335701	X452_0	0
9356401	X453_0	0
9377101	X454_0	0
9397801	X455_0	0
9418501	X456_0	0
9439201	X457_0	0
9459901	X458_0	0
9480601	X459_0	0
9501301	X460_0	0
9522001	X461_0	0
9542701	X462_0	0
9563401	X463_0	0
9584101	X464_0	0
9604801	X465_0	0
9625501	X466_0	0
9646201	X467_0	0
9666901	X468_0	0
9687601	X469_0	0
9708301	X470_0	0
9729001	X471_0	0
9749701	X472_0	0
9770401	X473_0	0
9791101	X474_0	0
9811801	X475_0	0
9832501	X476_0	0
9853201	X477_0	0
9873901	X478_0	0
9894601	X479_0	0
9915301	X480_0	0
9936001	X481_0	0
9956701	X482_0	0
9977401	X483_0	0
9998101	X484_0	0
10018801	X485_0	0
10039501	X486_0	0
10060201	X487_0	0
10080901	X488_0	0
10101601	X489_0	0
10122301	X490_0	0
10143001	X491_0	0
10163701	X492_0	0
10184401	X493_0	0
10205101	X494_0	0
10225801	X495_0	0
10246501	X496_0	0
10267201	X497_0	0
10287901	X498_0	0
10308601	X499_0	0
10329301	X500_0	0
2	X1_0.01	0.01
20702	X2_0.01	0.01
41402	X3_0.01	0.01
62102	X4_0.01	0.01
82802	X5_0.01	0.01
103502	X6_0.01	0.01
124202	X7_0.01	0.01
144902	X8_0.01	0.01
165602	X9_0.01	0.01
186302	X10_0.01	0.01
207002	X11_0.01	0.01
227702	X12_0.01	0.01
248402	X13_0.01	0.01
269102	X14_0.01	0.01
289802	X15_0.01	0.01
310502	X16_0.01	0.01
331202	X17_0.01	0.01
351902	X18_0.01	0.01
372602	X19_0.01	0.01
393302	X20_0.01	0.01
414002	X21_0.01	0.01
434702	X22_0.01	0.01
455402	X23_0.01	0.01
476102	X24_0.01	0.01
496802	X25_0.01	0.01
517502	X26_0.01	0.01
538202	X27_0.01	0.01
558902	X28_0.01	0.01
579602	X29_0.01	0.01
600302	X30_0.01	0.01
621002	X31_0.01	0.01
641702	X32_0.01	0.01
662402	X33_0.01	0.01
683102	X34_0.01	0.01
703802	X35_0.01	0.01
724502	X36_0.01	0.01
745202	X37_0.01	0.01
765902	X38_0.01	0.01
786602	X39_0.01	0.01
807302	X40_0.01	0.01
828002	X41_0.01	0.01
848702	X42_0.01	0.01
869402	X43_0.01	0.01
890102	X44_0.01	0.01
910802	X45_0.01	0.01
931502	X46_0.01	0.01
952202	X47_0.01	0.01
972902	X48_0.01	0.01
993602	X49_0.01	0.01
1014302	X50_0.01	0.01
1035002	X51_0.01	0.01
1055702	X52_0.01	0.01
1076402	X53_0.01	0.01
1097102	X54_0.01	0.01
1117802	X55_0.01	0.01
1138502	X56_0.01	0.01
1159202	X57_0.01	0.01
1179902	X58_0.01	0.01
1200602	X59_0.01	0.01
1221302	X60_0.01	0.01
1242002	X61_0.01	0.01
1262702	X62_0.01	0.01
1283402	X63_0.01	0.01
1304102	X64_0.01	0.01
1324802	X65_0.01	0.01
1345502	X66_0.01	0.01
1366202	X67_0.01	0.01
1386902	X68_0.01	0.01
1407602	X69_0.01	0.01
1428302	X70_0.01	0.01
1449002	X71_0.01	0.01
1469702	X72_0.01	0.01
1490402	X73_0.01	0.01
1511102	X74_0.01	0.01
1531802	X75_0.01	0.01
1552502	X76_0.01	0.01
1573202	X77_0.01	0.01
1593902	X78_0.01	0.01
1614602	X79_0.01	0.01
1635302	X80_0.01	0.01
1656002	X81_0.01	0.01
1676702	X82_0.01	0.01
1697402	X83_0.01	0.01
1718102	X84_0.01	0.01
1738802	X85_0.01	0.01
1759502	X86_0.01	0.01
1780202	X87_0.01	0.01
1800902	X88_0.01	0.01
1821602	X89_0.01	0.01
1842302	X90_0.01	0.01
1863002	X91_0.01	0.01
1883702	X92_0.01	0.01
1904402	X93_0.01	0.01
1925102	X94_0.01	0.01
1945802	X95_0.01	0.01
1966502	X96_0.01	0.01
1987202	X97_0.01	0.01
2007902	X98_0.01	0.01
2028602	X99_0.01	0.01
2049302	X100_0.01	0.01
2070002	X101_0.01	0.01
2090702	X102_0.01	0.01
2111402	X103_0.01	0.01
2132102	X104_0.01	0.01
2152802	X105_0.01	0.01
2173502	X106_0.01	0.01
2194202	X107_0.01	0.01
2214902	X108_0.01	0.01
2235602	X109_0.01	0.01
2256302	X110_0.01	0.01
2277002	X111_0.01	0.01
2297702	X112_0.01	0.01
2318402	X113_0.01	0.01
2339102	X114_0.01	0.01
2359802	X115_0.01	0.01
2380502	X116_0.01	0.01
2401202	X117_0.01	0.01
2421902	X118_0.01	0.01
2442602	X119_0.01	0.01
2463302	X120_0.01	0.01
2484002	X121_0.01	0.01
2504702	X122_0.01	0.01
2525402	X123_0.01	0.01
2546102	X124_0.01	0.01
2566802	X125_0.01	0.01
2587502	X126_0.01	0.01
2608202	X127_0.01	0.01
2628902	X128_0.01	0.01
2649602	X129_0.01	0.01
2670302	X130_0.01	0.01
2691002	X131_0.01	0.01
2711702	X132_0.01	0.01
2732402	X133_0.01	0.01
2753102	X134_0.01	0.01
2773802	X135_0.01	0.01
2794502	X136_0.01	0.01
2815202	X137_0.01	0.01
2835902	X138_0.01	0.01
2856602	X139_0.01	0.01
2877302	X140_0.01	0.01
2898002	X141_0.01	0.01
2918702	X142_0.01	0.01
2939402	X143_0.01	0.01
2960102	X144_0.01	0.01
2980802	X145_0.01	0.01
3001502	X146_0.01	0.01
3022202	X147_0.01	0.01
3042902	X148_0.01	0.01
3063602	X149_0.01	0.01
3084302	X150_0.01	0.01
3105002	X151_0.01	0.01
3125702	X152_0.01	0.01
3146402	X153_0.01	0.01
3167102	X154_0.01	0.01
3187802	X155_0.01	0.01
3208502	X156_0.01	0.01
3229202	X157_0.01	0.01
3249902	X158_0.01	0.01
3270602	X159_0.01	0.01
3291302	X160_0.01	0.01
3312002	X161_0.01	0.01
3332702	X162_0.01	0.01
3353402	X163_0.01	0.01
3374102	X164_0.01	0.01
3394802	X165_0.01	0.01
3415502	X166_0.01	0.01
3436202	X167_0.01	0.01
3456902	X168_0.01	0.01
3477602	X169_0.01	0.01
3498302	X170_0.01	0.01
3519002	X171_0.01	0.01
3539702	X172_0.01	0.01
3560402	X173_0.01	0.01
3581102	X174_0.01	0.01
3601802	X175_0.01	0.01
3622502	X176_0.01	0.01
3643202	X177_0.01	0.01
3663902	X178_0.01	0.01
3684602	X179_0.01	0.01
3705302	X180_0.01	0.01
3726002	X181_0.01	0.01
3746702	X182_0.01	0.01
3767402	X183_0.01	0.01
3788102	X184_0.01	0.01
3808802	X185_0.01	0.01
3829502	X186_0.01	0.01
3850202	X187_0.01	0.01
3870902	X188_0.01	0.01
3891602	X189_0.01	0.01
3912302	X190_0.01	0.01
3933002	X191_0.01	0.01
3953702	X192_0.01	0.01
3974402	X193_0.01	0.01
3995102	X194_0.01	0.01
4015802	X195_0.01	0.01
4036502	X196_0.01	0.01
4057202	X197_0.01	0.01
4077902	X198_0.01	0.01
4098602	X199_0.01	0.01
4119302	X200_0.01	0.01
4140002	X201_0.01	0.01
4160702	X202_0.01	0.01
4181402	X203_0.01	0.01
4202102	X204_0.01	0.01
4222802	X205_0.01	0.01
4243502	X206_0.01	0.01
4264202	X207_0.01	0.01
4284902	X208_0.01	0.01
4305602	X209_0.01	0.01
4326302	X210_0.01	0.01
4347002	X211_0.01	0.01
4367702	X212_0.01	0.01
4388402	X213_0.01	0.01
4409102	X214_0.01	0.01
4429802	X215_0.01	0.01
4450502	X216_0.01	0.01
4471202	X217_0.01	0.01
4491902	X218_0.01	0.01
4512602	X219_0.01	0.01
4533302	X220_0.01	0.01
4554002	X221_0.01	0.01
4574702	X222_0.01	0.01
4595402	X223_0.01	0.01
4616102	X224_0.01	0.01
4636802	X225_0.01	0.01
4657502	X226_0.01	0.01
4678202	X227_0.01	0.01
4698902	X228_0.01	0.01
4719602	X229_0.01	0.01
4740302	X230_0.01	0.01
4761002	X231_0.01	0.01
4781702	X232_0.01	0.01
4802402	X233_0.01	0.01
4823102	X234_0.01	0.01
4843802	X235_0.01	0.01
4864502	X236_0.01	0.01
4885202	X237_0.01	0.01
4905902	X238_0.01	0.01
4926602	X239_0.01	0.01
4947302	X240_0.01	0.01
4968002	X241_0.01	0.01
4988702	X242_0.01	0.01
5009402	X243_0.01	0.01
5030102	X244_0.01	0.01
5050802	X245_0.01	0.01
5071502	X246_0.01	0.01
5092202	X247_0.01	0.01
5112902	X248_0.01	0.01
5133602	X249_0.01	0.01
5154302	X250_0.01	0.01
5175002	X251_0.01	0.01
5195702	X252_0.01	0.01
5216402	X253_0.01	0.01
5237102	X254_0.01	0.01
5257802	X255_0.01	0.01
5278502	X256_0.01	0.01
5299202	X257_0.01	0.01
5319902	X258_0.01	0.01
5340602	X259_0.01	0.01
5361302	X260_0.01	0.01
5382002	X261_0.01	0.01
5402702	X262_0.01	0.01
5423402	X263_0.01	0.01
5444102	X264_0.01	0.01
5464802	X265_0.01	0.01
5485502	X266_0.01	0.01
5506202	X267_0.01	0.01
5526902	X268_0.01	0.01
5547602	X269_0.01	0.01
5568302	X270_0.01	0.01
5589002	X271_0.01	0.01
5609702	X272_0.01	0.01
5630402	X273_0.01	0.01
5651102	X274_0.01	0.01
5671802	X275_0.01	0.01
5692502	X276_0.01	0.01
5713202	X277_0.01	0.01
5733902	X278_0.01	0.01
5754602	X279_0.01	0.01
5775302	X280_0.01	0.01
5796002	X281_0.01	0.01
5816702	X282_0.01	0.01
5837402	X283_0.01	0.01
5858102	X284_0.01	0.01
5878802	X285_0.01	0.01
5899502	X286_0.01	0.01
5920202	X287_0.01	0.01
5940902	X288_0.01	0.01
5961602	X289_0.01	0.01
5982302	X290_0.01	0.01
6003002	X291_0.01	0.01
6023702	X292_0.01	0.01
6044402	X293_0.01	0.01
6065102	X294_0.01	0.01
6085802	X295_0.01	0.01
6106502	X296_0.01	0.01
6127202	X297_0.01	0.01
6147902	X298_0.01	0.01
6168602	X299_0.01	0.01
6189302	X300_0.01	0.01
6210002	X301_0.01	0.01
6230702	X302_0.01	0.01
6251402	X303_0.01	0.01
6272102	X304_0.01	0.01
6292802	X305_0.01	0.01
6313502	X306_0.01	0.01
6334202	X307_0.01	0.01
6354902	X308_0.01	0.01
6375602	X309_0.01	0.01
6396302	X310_0.01	0.01
6417002	X311_0.01	0.01
6437702	X312_0.01	0.01
6458402	X313_0.01	0.01
6479102	X314_0.01	0.01
6499802	X315_0.01	0.01
6520502	X316_0.01	0.01
6541202	X317_0.01	0.01
6561902	X318_0.01	0.01
6582602	X319_0.01	0.01
6603302	X320_0.01	0.01
6624002	X321_0.01	0.01
6644702	X322_0.01	0.01
6665402	X323_0.01	0.01
6686102	X324_0.01	0.01
6706802	X325_0.01	0.01
6727502	X326_0.01	0.01
6748202	X327_0.01	0.01
6768902	X328_0.01	0.01
6789602	X329_0.01	0.01
6810302	X330_0.01	0.01
6831002	X331_0.01	0.01
6851702	X332_0.01	0.01
6872402	X333_0.01	0.01
6893102	X334_0.01	0.01
6913802	X335_0.01	0.01
6934502	X336_0.01	0.01
6955202	X337_0.01	0.01
6975902	X338_0.01	0.01
6996602	X339_0.01	0.01
7017302	X340_0.01	0.01
7038002	X341_0.01	0.01
7058702	X342_0.01	0.01
7079402	X343_0.01	0.01
7100102	X344_0.01	0.01
7120802	X345_0.01	0.01
7141502	X346_0.01	0.01
7162202	X347_0.01	0.01
7182902	X348_0.01	0.01
7203602	X349_0.01	0.01
7224302	X350_0.01	0.01
7245002	X351_0.01	0.01
7265702	X352_0.01	0.01
7286402	X353_0.01	0.01
7307102	X354_0.01	0.01
7327802	X355_0.01	0.01
7348502	X356_0.01	0.01
7369202	X357_0.01	0.01
7389902	X358_0.01	0.01
7410602	X359_0.01	0.01
7431302	X360_0.01	0.01
7452002	X361_0.01	0.01
7472702	X362_0.01	0.01
7493402	X363_0.01	0.01
7514102	X364_0.01	0.01
7534802	X365_0.01	0.01
7555502	X366_0.01	0.01
7576202	X367_0.01	0.01
7596902	X368_0.01	0.01
7617602	X369_0.01	0.01
7638302	X370_0.01	0.01
7659002	X371_0.01	0.01
7679702	X372_0.01	0.01
7700402	X373_0.01	0.01
7721102	X374_0.01	0.01
7741802	X375_0.01	0.01
7762502	X376_0.01	0.01
7783202	X377_0.01	0.01
7803902	X378_0.01	0.01
7824602	X379_0.01	0.01
7845302	X380_0.01	0.01
7866002	X381_0.01	0.01
7886702	X382_0.01	0.01
7907402	X383_0.01	0.01
7928102	X384_0.01	0.01
7948802	X385_0.01	0.01
7969502	X386_0.01	0.01
7990202	X387_0.01	0.01
8010902	X388_0.01	0.01
8031602	X389_0.01	0.01
8052302	X390_0.01	0.01
8073002	X391_0.01	0.01
8093702	X392_0.01	0.01
8114402	X393_0.01	0.01
8135102	X394_0.01	0.01
8155802	X395_0.01	0.01
8176502	X396_0.01	0.01
8197202	X397_0.01	0.01
8217902	X398_0.01	0.01
8238602	X399_0.01	0.01
8259302	X400_0.01	0.01
8280002	X401_0.01	0.01
8300702	X402_0.01	0.01
8321402	X403_0.01	0.01
8342102	X404_0.01	0.01
8362802	X405_0.01	0.01
8383502	X406_0.01	0.01
8404202	X407_0.01	0.01
8424902	X408_0.01	0.01
8445602	X409_0.01	0.01
8466302	X410_0.01	0.01
8487002	X411_0.01	0.01
8507702	X412_0.01	0.01
8528402	X413_0.01	0.01
8549102	X414_0.01	0.01
8569802	X415_0.01	0.01
8590502	X416_0.01	0.01
8611202	X417_0.01	0.01
8631902	X418_0.01	0.01
8652602	X419_0.01	0.01
8673302	X420_0.01	0.01
8694002	X421_0.01	0.01
8714702	X422_0.01	0.01
8735402	X423_0.01	0.01
8756102	X424_0.01	0.01
8776802	X425_0.01	0.01
8797502	X426_0.01	0.01
8818202	X427_0.01	0.01
8838902	X428_0.01	0.01
8859602	X429_0.01	0.01
8880302	X430_0.01	0.01
8901002	X431_0.01	0.01
8921702	X432_0.01	0.01
8942402	X433_0.01	0.01
8963102	X434_0.01	0.01
8983802	X435_0.01	0.01
9004502	X436_0.01	0.01
9025202	X437_0.01	0.01
9045902	X438_0.01	0.01
9066602	X439_0.01	0.01
9087302	X440_0.01	0.01
9108002	X441_0.01	0.01
9128702	X442_0.01	0.01
9149402	X443_0.01	0.01
9170102	X444_0.01	0.01
9190802	X445_0.01	0.01
9211502	X446_0.01	0.01
9232202	X447_0.01	0.01
9252902	X448_0.01	0.01
9273602	X449_0.01	0.01
9294302	X450_0.01	0.01
9315002	X451_0.01	0.01
9335702	X452_0.01	0.01
9356402	X453_0.01	0.01
9377102	X454_0.01	0.01
9397802	X455_0.01	0.01
9418502	X456_0.01	0.01
9439202	X457_0.01	0.01
9459902	X458_0.01	0.01
9480602	X459_0.01	0.01
9501302	X460_0.01	0.01
9522002	X461_0.01	0.01
9542702	X462_0.01	0.01
9563402	X463_0.01	0.01
9584102	X464_0.01	0.01
9604802	X465_0.01	0.01
9625502	X466_0.01	0.01
9646202	X467_0.01	0.01
9666902	X468_0.01	0.01
9687602	X469_0.01	0.01
9708302	X470_0.01	0.01
9729002	X471_0.01	0.01
9749702	X472_0.01	0.01
9770402	X473_0.01	0.01
9791102	X474_0.01	0.01
9811802	X475_0.01	0.01
9832502	X476_0.01	0.01
9853202	X477_0.01	0.01
9873902	X478_0.01	0.01
9894602	X479_0.01	0.01
9915302	X480_0.01	0.01
9936002	X481_0.01	0.01
9956702	X482_0.01	0.01
9977402	X483_0.01	0.01
9998102	X484_0.01	0.01
10018802	X485_0.01	0.01
10039502	X486_0.01	0.01
10060202	X487_0.01	0.01
10080902	X488_0.01	0.01
10101602	X489_0.01	0.01
10122302	X490_0.01	0.01
10143002	X491_0.01	0.01
10163702	X492_0.01	0.01
10184402	X493_0.01	0.01
10205102	X494_0.01	0.01
10225802	X495_0.01	0.01
10246502	X496_0.01	0.01
10267202	X497_0.01	0.01
10287902	X498_0.01	0.01
10308602	X499_0.01	0.01
10329302	X500_0.01	0.01
3	X1_0.03	0.03
20703	X2_0.03	0.03
41403	X3_0.03	0.03
62103	X4_0.03	0.03
82803	X5_0.03	0.03
103503	X6_0.03	0.03
124203	X7_0.03	0.03
144903	X8_0.03	0.03
165603	X9_0.03	0.03
186303	X10_0.03	0.03
207003	X11_0.03	0.03
227703	X12_0.03	0.03
248403	X13_0.03	0.03
269103	X14_0.03	0.03
289803	X15_0.03	0.03
310503	X16_0.03	0.03
331203	X17_0.03	0.03
351903	X18_0.03	0.03
372603	X19_0.03	0.03
393303	X20_0.03	0.03
414003	X21_0.03	0.03
434703	X22_0.03	0.03
455403	X23_0.03	0.03
476103	X24_0.03	0.03
496803	X25_0.03	0.03
517503	X26_0.03	0.03
538203	X27_0.03	0.03
558903	X28_0.03	0.03
579603	X29_0.03	0.03
600303	X30_0.03	0.03
621003	X31_0.03	0.03
641703	X32_0.03	0.03
662403	X33_0.03	0.03
683103	X34_0.03	0.03
703803	X35_0.03	0.03
724503	X36_0.03	0.03
745203	X37_0.03	0.03
765903	X38_0.03	0.03
786603	X39_0.03	0.03
807303	X40_0.03	0.03
828003	X41_0.03	0.03
848703	X42_0.03	0.03
869403	X43_0.03	0.03
890103	X44_0.03	0.03
910803	X45_0.03	0.03
931503	X46_0.03	0.03
952203	X47_0.03	0.03
972903	X48_0.03	0.03
993603	X49_0.03	0.03
1014303	X50_0.03	0.03
1035003	X51_0.03	0.03
1055703	X52_0.03	0.03
1076403	X53_0.03	0.03
1097103	X54_0.03	0.03
1117803	X55_0.03	0.03
1138503	X56_0.03	0.03
1159203	X57_0.03	0.03
1179903	X58_0.03	0.03
1200603	X59_0.03	0.03
1221303	X60_0.03	0.03
1242003	X61_0.03	0.03
1262703	X62_0.03	0.03
1283403	X63_0.03	0.03
1304103	X64_0.03	0.03
1324803	X65_0.03	0.03
1345503	X66_0.03	0.03
1366203	X67_0.03	0.03
1386903	X68_0.03	0.03
1407603	X69_0.03	0.03
1428303	X70_0.03	0.03
1449003	X71_0.03	0.03
1469703	X72_0.03	0.03
1490403	X73_0.03	0.03
1511103	X74_0.03	0.03
1531803	X75_0.03	0.03
