	Gene	Model	Direction
113	gene113	hill	Upregulated
114	gene114	hill	Upregulated
115	gene115	hill	Upregulated
116	gene116	hill	Upregulated
117	gene117	hill	Upregulated
118	gene118	hill	Upregulated
119	gene119	hill	Upregulated
120	gene120	hill	Upregulated
121	gene121	hill	Upregulated
122	gene122	hill	Upregulated
123	gene123	hill	Upregulated
124	gene124	hill	Upregulated
125	gene125	hill	Upregulated
126	gene126	hill	Upregulated
127	gene127	hill	Upregulated
128	gene128	hill	Upregulated
129	gene129	hill	Upregulated
130	gene130	hill	Upregulated
131	gene131	hill	Upregulated
132	gene132	hill	Upregulated
133	gene133	hill	Upregulated
134	gene134	hill	Upregulated
135	gene135	hill	Upregulated
136	gene136	hill	Upregulated
137	gene137	hill	Upregulated
138	gene138	hill	Upregulated
139	gene139	hill	Upregulated
140	gene140	hill	Upregulated
141	gene141	hill	Upregulated
142	gene142	hill	Upregulated
143	gene143	hill	Upregulated
144	gene144	hill	Upregulated
145	gene145	hill	Upregulated
146	gene146	hill	Upregulated
147	gene147	hill	Upregulated
148	gene148	hill	Upregulated
149	gene149	hill	Upregulated
150	gene150	hill	Upregulated
151	gene151	hill	Downregulated
152	gene152	hill	Downregulated
153	gene153	hill	Downregulated
154	gene154	hill	Downregulated
155	gene155	hill	Downregulated
156	gene156	hill	Downregulated
157	gene157	hill	Downregulated
158	gene158	hill	Downregulated
159	gene159	hill	Downregulated
160	gene160	hill	Downregulated
161	gene161	hill	Downregulated
162	gene162	hill	Downregulated
163	gene163	hill	Downregulated
164	gene164	hill	Downregulated
165	gene165	hill	Downregulated
166	gene166	hill	Downregulated
167	gene167	hill	Downregulated
168	gene168	hill	Downregulated
169	gene169	hill	Downregulated
170	gene170	hill	Downregulated
171	gene171	hill	Downregulated
172	gene172	hill	Downregulated
173	gene173	hill	Downregulated
174	gene174	hill	Downregulated
175	gene175	hill	Downregulated
176	gene176	hill	Downregulated
177	gene177	hill	Downregulated
178	gene178	hill	Downregulated
179	gene179	hill	Downregulated
180	gene180	hill	Downregulated
181	gene181	hill	Downregulated
182	gene182	hill	Downregulated
183	gene183	hill	Downregulated
184	gene184	hill	Downregulated
185	gene185	hill	Downregulated
186	gene186	hill	Downregulated
187	gene187	hill	Downregulated
188	gene188	hill	Downregulated
189	gene189	hill	Downregulated
190	gene190	hill	Downregulated
191	gene191	hill	Downregulated
192	gene192	hill	Downregulated
193	gene193	hill	Downregulated
194	gene194	hill	Downregulated
195	gene195	hill	Downregulated
196	gene196	hill	Downregulated
197	gene197	hill	Downregulated
198	gene198	hill	Downregulated
199	gene199	hill	Downregulated
200	gene200	hill	Downregulated
201	gene201	hill	Downregulated
202	gene202	hill	Downregulated
203	gene203	hill	Downregulated
204	gene204	hill	Downregulated
205	gene205	hill	Downregulated
206	gene206	hill	Downregulated
207	gene207	hill	Downregulated
208	gene208	hill	Downregulated
209	gene209	hill	Downregulated
210	gene210	hill	Downregulated
211	gene211	hill	Downregulated
212	gene212	hill	Downregulated
213	gene213	hill	Downregulated
214	gene214	hill	Downregulated
215	gene215	hill	Downregulated
216	gene216	hill	Downregulated
217	gene217	hill	Downregulated
218	gene218	hill	Downregulated
219	gene219	hill	Downregulated
220	gene220	hill	Downregulated
221	gene221	hill	Downregulated
222	gene222	hill	Downregulated
223	gene223	hill	Downregulated
224	gene224	hill	Downregulated
225	gene225	hill	Downregulated
226	gene226	hill	Downregulated
227	gene227	hill	Downregulated
228	gene228	hill	Downregulated
229	gene229	hill	Downregulated
230	gene230	hill	Downregulated
231	gene231	hill	Downregulated
232	gene232	hill	Downregulated
233	gene233	hill	Downregulated
234	gene234	hill	Downregulated
235	gene235	hill	Downregulated
236	gene236	hill	Downregulated
237	gene237	hill	Downregulated
238	gene238	hill	Downregulated
239	gene239	hill	Downregulated
240	gene240	hill	Downregulated
241	gene241	hill	Downregulated
242	gene242	hill	Downregulated
243	gene243	hill	Downregulated
244	gene244	hill	Downregulated
245	gene245	hill	Downregulated
246	gene246	hill	Downregulated
247	gene247	hill	Downregulated
248	gene248	hill	Downregulated
249	gene249	hill	Downregulated
250	gene250	hill	Downregulated
251	gene251	hill	Downregulated
252	gene252	hill	Downregulated
253	gene253	hill	Downregulated
254	gene254	hill	Downregulated
255	gene255	hill	Downregulated
256	gene256	hill	Downregulated
257	gene257	hill	Downregulated
258	gene258	hill	Downregulated
259	gene259	hill	Downregulated
260	gene260	hill	Downregulated
261	gene261	hill	Downregulated
262	gene262	hill	Downregulated
263	gene263	hill	Downregulated
264	gene264	hill	Downregulated
265	gene265	hill	Downregulated
266	gene266	hill	Downregulated
267	gene267	hill	Downregulated
268	gene268	hill	Downregulated
269	gene269	hill	Downregulated
270	gene270	hill	Downregulated
271	gene271	hill	Downregulated
272	gene272	hill	Downregulated
273	gene273	hill	Downregulated
274	gene274	hill	Downregulated
275	gene275	hill	Downregulated
276	gene276	hill	Downregulated
277	gene277	hill	Downregulated
278	gene278	hill	Downregulated
279	gene279	hill	Downregulated
280	gene280	hill	Downregulated
281	gene281	hill	Downregulated
282	gene282	hill	Downregulated
283	gene283	hill	Downregulated
284	gene284	hill	Downregulated
285	gene285	hill	Downregulated
286	gene286	hill	Downregulated
287	gene287	hill	Downregulated
288	gene288	hill	Downregulated
289	gene289	hill	Downregulated
290	gene290	hill	Downregulated
291	gene291	hill	Downregulated
292	gene292	hill	Downregulated
293	gene293	hill	Downregulated
294	gene294	hill	Downregulated
295	gene295	hill	Downregulated
296	gene296	hill	Downregulated
297	gene297	hill	Downregulated
298	gene298	hill	Downregulated
299	gene299	hill	Downregulated
300	gene300	hill	Downregulated
301	gene301	exp	Upregulated
302	gene302	exp	Upregulated
303	gene303	exp	Upregulated
304	gene304	exp	Upregulated
305	gene305	exp	Upregulated
306	gene306	exp	Upregulated
307	gene307	exp	Upregulated
308	gene308	exp	Upregulated
309	gene309	exp	Upregulated
310	gene310	exp	Upregulated
311	gene311	exp	Upregulated
312	gene312	exp	Upregulated
313	gene313	exp	Upregulated
314	gene314	exp	Upregulated
315	gene315	exp	Upregulated
316	gene316	exp	Upregulated
317	gene317	exp	Upregulated
318	gene318	exp	Upregulated
319	gene319	exp	Upregulated
320	gene320	exp	Upregulated
321	gene321	exp	Upregulated
322	gene322	exp	Upregulated
323	gene323	exp	Upregulated
324	gene324	exp	Upregulated
325	gene325	exp	Upregulated
326	gene326	exp	Upregulated
327	gene327	exp	Upregulated
328	gene328	exp	Upregulated
329	gene329	exp	Upregulated
330	gene330	exp	Upregulated
331	gene331	exp	Upregulated
332	gene332	exp	Upregulated
333	gene333	exp	Upregulated
334	gene334	exp	Upregulated
335	gene335	exp	Upregulated
336	gene336	exp	Upregulated
337	gene337	exp	Upregulated
338	gene338	exp	Upregulated
339	gene339	exp	Upregulated
340	gene340	exp	Upregulated
341	gene341	exp	Upregulated
342	gene342	exp	Upregulated
343	gene343	exp	Upregulated
344	gene344	exp	Upregulated
345	gene345	exp	Upregulated
346	gene346	exp	Upregulated
347	gene347	exp	Upregulated
348	gene348	exp	Upregulated
349	gene349	exp	Upregulated
350	gene350	exp	Upregulated
351	gene351	exp	Upregulated
352	gene352	exp	Upregulated
353	gene353	exp	Upregulated
354	gene354	exp	Upregulated
355	gene355	exp	Upregulated
356	gene356	exp	Upregulated
357	gene357	exp	Upregulated
358	gene358	exp	Upregulated
359	gene359	exp	Upregulated
360	gene360	exp	Upregulated
361	gene361	exp	Upregulated
362	gene362	exp	Upregulated
363	gene363	exp	Upregulated
364	gene364	exp	Upregulated
365	gene365	exp	Upregulated
366	gene366	exp	Upregulated
367	gene367	exp	Upregulated
368	gene368	exp	Upregulated
369	gene369	exp	Upregulated
370	gene370	exp	Upregulated
371	gene371	exp	Upregulated
372	gene372	exp	Upregulated
373	gene373	exp	Upregulated
374	gene374	exp	Upregulated
375	gene375	exp	Upregulated
376	gene376	exp	Upregulated
377	gene377	exp	Upregulated
378	gene378	exp	Upregulated
379	gene379	exp	Upregulated
380	gene380	exp	Upregulated
381	gene381	exp	Upregulated
382	gene382	exp	Upregulated
383	gene383	exp	Upregulated
384	gene384	exp	Upregulated
385	gene385	exp	Upregulated
386	gene386	exp	Upregulated
387	gene387	exp	Upregulated
388	gene388	exp	Upregulated
389	gene389	exp	Upregulated
390	gene390	exp	Upregulated
391	gene391	exp	Upregulated
392	gene392	exp	Upregulated
393	gene393	exp	Upregulated
394	gene394	exp	Upregulated
395	gene395	exp	Upregulated
396	gene396	exp	Upregulated
397	gene397	exp	Upregulated
398	gene398	exp	Upregulated
399	gene399	exp	Upregulated
400	gene400	exp	Upregulated
401	gene401	exp	Upregulated
402	gene402	exp	Upregulated
403	gene403	exp	Upregulated
404	gene404	exp	Upregulated
405	gene405	exp	Upregulated
406	gene406	exp	Upregulated
407	gene407	exp	Upregulated
408	gene408	exp	Upregulated
409	gene409	exp	Upregulated
410	gene410	exp	Upregulated
411	gene411	exp	Upregulated
412	gene412	exp	Upregulated
413	gene413	exp	Upregulated
414	gene414	exp	Upregulated
415	gene415	exp	Upregulated
416	gene416	exp	Upregulated
417	gene417	exp	Upregulated
418	gene418	exp	Upregulated
419	gene419	exp	Upregulated
420	gene420	exp	Upregulated
421	gene421	exp	Upregulated
422	gene422	exp	Upregulated
423	gene423	exp	Upregulated
424	gene424	exp	Upregulated
425	gene425	exp	Upregulated
426	gene426	exp	Upregulated
427	gene427	exp	Upregulated
428	gene428	exp	Upregulated
429	gene429	exp	Upregulated
430	gene430	exp	Upregulated
431	gene431	exp	Upregulated
432	gene432	exp	Upregulated
433	gene433	exp	Upregulated
434	gene434	exp	Upregulated
435	gene435	exp	Upregulated
436	gene436	exp	Upregulated
437	gene437	exp	Upregulated
438	gene438	exp	Upregulated
439	gene439	exp	Upregulated
440	gene440	exp	Upregulated
441	gene441	exp	Upregulated
442	gene442	exp	Upregulated
443	gene443	exp	Upregulated
444	gene444	exp	Upregulated
445	gene445	exp	Upregulated
446	gene446	exp	Upregulated
447	gene447	exp	Upregulated
448	gene448	exp	Upregulated
449	gene449	exp	Upregulated
450	gene450	exp	Upregulated
451	gene451	exp	Downregulated
452	gene452	exp	Downregulated
453	gene453	exp	Downregulated
454	gene454	exp	Downregulated
455	gene455	exp	Downregulated
456	gene456	exp	Downregulated
457	gene457	exp	Downregulated
458	gene458	exp	Downregulated
459	gene459	exp	Downregulated
460	gene460	exp	Downregulated
461	gene461	exp	Downregulated
462	gene462	exp	Downregulated
463	gene463	exp	Downregulated
464	gene464	exp	Downregulated
465	gene465	exp	Downregulated
466	gene466	exp	Downregulated
467	gene467	exp	Downregulated
468	gene468	exp	Downregulated
469	gene469	exp	Downregulated
470	gene470	exp	Downregulated
471	gene471	exp	Downregulated
472	gene472	exp	Downregulated
473	gene473	exp	Downregulated
474	gene474	exp	Downregulated
475	gene475	exp	Downregulated
476	gene476	exp	Downregulated
477	gene477	exp	Downregulated
478	gene478	exp	Downregulated
479	gene479	exp	Downregulated
480	gene480	exp	Downregulated
481	gene481	exp	Downregulated
482	gene482	exp	Downregulated
483	gene483	exp	Downregulated
484	gene484	exp	Downregulated
485	gene485	exp	Downregulated
486	gene486	exp	Downregulated
487	gene487	exp	Downregulated
488	gene488	exp	Downregulated
489	gene489	exp	Downregulated
490	gene490	exp	Downregulated
491	gene491	exp	Downregulated
492	gene492	exp	Downregulated
493	gene493	exp	Downregulated
494	gene494	exp	Downregulated
495	gene495	exp	Downregulated
496	gene496	exp	Downregulated
497	gene497	exp	Downregulated
498	gene498	exp	Downregulated
499	gene499	exp	Downregulated
500	gene500	exp	Downregulated
501	gene501	exp	Downregulated
502	gene502	exp	Downregulated
503	gene503	exp	Downregulated
504	gene504	exp	Downregulated
505	gene505	exp	Downregulated
506	gene506	exp	Downregulated
507	gene507	exp	Downregulated
508	gene508	exp	Downregulated
509	gene509	exp	Downregulated
510	gene510	exp	Downregulated
511	gene511	exp	Downregulated
512	gene512	exp	Downregulated
513	gene513	exp	Downregulated
514	gene514	exp	Downregulated
515	gene515	exp	Downregulated
516	gene516	exp	Downregulated
517	gene517	exp	Downregulated
518	gene518	exp	Downregulated
519	gene519	exp	Downregulated
520	gene520	exp	Downregulated
521	gene521	exp	Downregulated
522	gene522	exp	Downregulated
523	gene523	exp	Downregulated
524	gene524	exp	Downregulated
525	gene525	exp	Downregulated
526	gene526	exp	Downregulated
527	gene527	exp	Downregulated
528	gene528	exp	Downregulated
529	gene529	exp	Downregulated
530	gene530	exp	Downregulated
531	gene531	exp	Downregulated
532	gene532	exp	Downregulated
533	gene533	exp	Downregulated
534	gene534	exp	Downregulated
535	gene535	exp	Downregulated
536	gene536	exp	Downregulated
537	gene537	exp	Downregulated
538	gene538	exp	Downregulated
539	gene539	exp	Downregulated
540	gene540	exp	Downregulated
541	gene541	exp	Downregulated
542	gene542	exp	Downregulated
543	gene543	exp	Downregulated
544	gene544	exp	Downregulated
545	gene545	exp	Downregulated
546	gene546	exp	Downregulated
547	gene547	exp	Downregulated
548	gene548	exp	Downregulated
549	gene549	exp	Downregulated
550	gene550	exp	Downregulated
551	gene551	exp	Downregulated
552	gene552	exp	Downregulated
553	gene553	exp	Downregulated
554	gene554	exp	Downregulated
555	gene555	exp	Downregulated
556	gene556	exp	Downregulated
557	gene557	exp	Downregulated
558	gene558	exp	Downregulated
559	gene559	exp	Downregulated
560	gene560	exp	Downregulated
561	gene561	exp	Downregulated
562	gene562	exp	Downregulated
563	gene563	exp	Downregulated
564	gene564	exp	Downregulated
565	gene565	exp	Downregulated
566	gene566	exp	Downregulated
567	gene567	exp	Downregulated
568	gene568	exp	Downregulated
569	gene569	exp	Downregulated
570	gene570	exp	Downregulated
571	gene571	exp	Downregulated
572	gene572	exp	Downregulated
573	gene573	exp	Downregulated
574	gene574	exp	Downregulated
575	gene575	exp	Downregulated
576	gene576	exp	Downregulated
577	gene577	exp	Downregulated
578	gene578	exp	Downregulated
579	gene579	exp	Downregulated
580	gene580	exp	Downregulated
581	gene581	exp	Downregulated
582	gene582	exp	Downregulated
583	gene583	exp	Downregulated
584	gene584	exp	Downregulated
585	gene585	exp	Downregulated
586	gene586	exp	Downregulated
587	gene587	exp	Downregulated
588	gene588	exp	Downregulated
589	gene589	exp	Downregulated
590	gene590	exp	Downregulated
591	gene591	exp	Downregulated
592	gene592	exp	Downregulated
593	gene593	exp	Downregulated
594	gene594	exp	Downregulated
595	gene595	exp	Downregulated
596	gene596	exp	Downregulated
597	gene597	exp	Downregulated
598	gene598	exp	Downregulated
599	gene599	exp	Downregulated
600	gene600	exp	Downregulated
601	gene601	exp2	Upregulated
602	gene602	exp2	Upregulated
603	gene603	exp2	Upregulated
604	gene604	exp2	Upregulated
605	gene605	exp2	Upregulated
606	gene606	exp2	Upregulated
607	gene607	exp2	Upregulated
608	gene608	exp2	Upregulated
609	gene609	exp2	Upregulated
610	gene610	exp2	Upregulated
611	gene611	exp2	Upregulated
612	gene612	exp2	Upregulated
613	gene613	exp2	Upregulated
614	gene614	exp2	Upregulated
615	gene615	exp2	Upregulated
616	gene616	exp2	Upregulated
617	gene617	exp2	Upregulated
618	gene618	exp2	Upregulated
619	gene619	exp2	Upregulated
620	gene620	exp2	Upregulated
621	gene621	exp2	Upregulated
622	gene622	exp2	Upregulated
623	gene623	exp2	Upregulated
624	gene624	exp2	Upregulated
625	gene625	exp2	Upregulated
626	gene626	exp2	Upregulated
627	gene627	exp2	Upregulated
628	gene628	exp2	Upregulated
629	gene629	exp2	Upregulated
630	gene630	exp2	Upregulated
631	gene631	exp2	Upregulated
632	gene632	exp2	Upregulated
633	gene633	exp2	Upregulated
634	gene634	exp2	Upregulated
635	gene635	exp2	Upregulated
636	gene636	exp2	Upregulated
637	gene637	exp2	Upregulated
638	gene638	exp2	Upregulated
639	gene639	exp2	Upregulated
640	gene640	exp2	Upregulated
641	gene641	exp2	Upregulated
642	gene642	exp2	Upregulated
643	gene643	exp2	Upregulated
644	gene644	exp2	Upregulated
645	gene645	exp2	Upregulated
646	gene646	exp2	Upregulated
647	gene647	exp2	Upregulated
648	gene648	exp2	Upregulated
649	gene649	exp2	Upregulated
650	gene650	exp2	Upregulated
651	gene651	exp2	Upregulated
652	gene652	exp2	Upregulated
653	gene653	exp2	Upregulated
654	gene654	exp2	Upregulated
655	gene655	exp2	Upregulated
656	gene656	exp2	Upregulated
657	gene657	exp2	Upregulated
658	gene658	exp2	Upregulated
659	gene659	exp2	Upregulated
660	gene660	exp2	Upregulated
661	gene661	exp2	Upregulated
662	gene662	exp2	Upregulated
663	gene663	exp2	Upregulated
664	gene664	exp2	Upregulated
665	gene665	exp2	Upregulated
666	gene666	exp2	Upregulated
667	gene667	exp2	Upregulated
668	gene668	exp2	Upregulated
669	gene669	exp2	Upregulated
670	gene670	exp2	Upregulated
671	gene671	exp2	Upregulated
672	gene672	exp2	Upregulated
673	gene673	exp2	Upregulated
674	gene674	exp2	Upregulated
675	gene675	exp2	Upregulated
676	gene676	exp2	Upregulated
677	gene677	exp2	Upregulated
678	gene678	exp2	Upregulated
679	gene679	exp2	Upregulated
680	gene680	exp2	Upregulated
681	gene681	exp2	Upregulated
682	gene682	exp2	Upregulated
683	gene683	exp2	Upregulated
684	gene684	exp2	Upregulated
685	gene685	exp2	Upregulated
686	gene686	exp2	Upregulated
687	gene687	exp2	Upregulated
688	gene688	exp2	Upregulated
689	gene689	exp2	Upregulated
690	gene690	exp2	Upregulated
691	gene691	exp2	Upregulated
692	gene692	exp2	Upregulated
693	gene693	exp2	Upregulated
694	gene694	exp2	Upregulated
695	gene695	exp2	Upregulated
696	gene696	exp2	Upregulated
697	gene697	exp2	Upregulated
698	gene698	exp2	Upregulated
699	gene699	exp2	Upregulated
700	gene700	exp2	Upregulated
701	gene701	exp2	Upregulated
702	gene702	exp2	Upregulated
703	gene703	exp2	Upregulated
704	gene704	exp2	Upregulated
705	gene705	exp2	Upregulated
706	gene706	exp2	Upregulated
707	gene707	exp2	Upregulated
708	gene708	exp2	Upregulated
709	gene709	exp2	Upregulated
710	gene710	exp2	Upregulated
711	gene711	exp2	Upregulated
712	gene712	exp2	Upregulated
713	gene713	exp2	Upregulated
714	gene714	exp2	Upregulated
715	gene715	exp2	Upregulated
716	gene716	exp2	Upregulated
717	gene717	exp2	Upregulated
718	gene718	exp2	Upregulated
719	gene719	exp2	Upregulated
720	gene720	exp2	Upregulated
721	gene721	exp2	Upregulated
722	gene722	exp2	Upregulated
723	gene723	exp2	Upregulated
724	gene724	exp2	Upregulated
725	gene725	exp2	Upregulated
726	gene726	exp2	Upregulated
727	gene727	exp2	Upregulated
728	gene728	exp2	Upregulated
729	gene729	exp2	Upregulated
730	gene730	exp2	Upregulated
731	gene731	exp2	Upregulated
732	gene732	exp2	Upregulated
733	gene733	exp2	Upregulated
734	gene734	exp2	Upregulated
735	gene735	exp2	Upregulated
736	gene736	exp2	Upregulated
737	gene737	exp2	Upregulated
738	gene738	exp2	Upregulated
739	gene739	exp2	Upregulated
740	gene740	exp2	Upregulated
741	gene741	exp2	Upregulated
742	gene742	exp2	Upregulated
743	gene743	exp2	Upregulated
744	gene744	exp2	Upregulated
745	gene745	exp2	Upregulated
746	gene746	exp2	Upregulated
747	gene747	exp2	Upregulated
748	gene748	exp2	Upregulated
749	gene749	exp2	Upregulated
750	gene750	exp2	Upregulated
751	gene751	exp2	Downregulated
752	gene752	exp2	Downregulated
753	gene753	exp2	Downregulated
754	gene754	exp2	Downregulated
755	gene755	exp2	Downregulated
756	gene756	exp2	Downregulated
757	gene757	exp2	Downregulated
758	gene758	exp2	Downregulated
759	gene759	exp2	Downregulated
760	gene760	exp2	Downregulated
761	gene761	exp2	Downregulated
762	gene762	exp2	Downregulated
763	gene763	exp2	Downregulated
764	gene764	exp2	Downregulated
765	gene765	exp2	Downregulated
766	gene766	exp2	Downregulated
767	gene767	exp2	Downregulated
768	gene768	exp2	Downregulated
769	gene769	exp2	Downregulated
770	gene770	exp2	Downregulated
771	gene771	exp2	Downregulated
772	gene772	exp2	Downregulated
773	gene773	exp2	Downregulated
774	gene774	exp2	Downregulated
775	gene775	exp2	Downregulated
776	gene776	exp2	Downregulated
777	gene777	exp2	Downregulated
778	gene778	exp2	Downregulated
779	gene779	exp2	Downregulated
780	gene780	exp2	Downregulated
781	gene781	exp2	Downregulated
782	gene782	exp2	Downregulated
783	gene783	exp2	Downregulated
784	gene784	exp2	Downregulated
785	gene785	exp2	Downregulated
786	gene786	exp2	Downregulated
787	gene787	exp2	Downregulated
788	gene788	exp2	Downregulated
789	gene789	exp2	Downregulated
790	gene790	exp2	Downregulated
791	gene791	exp2	Downregulated
792	gene792	exp2	Downregulated
793	gene793	exp2	Downregulated
794	gene794	exp2	Downregulated
795	gene795	exp2	Downregulated
796	gene796	exp2	Downregulated
797	gene797	exp2	Downregulated
798	gene798	exp2	Downregulated
799	gene799	exp2	Downregulated
800	gene800	exp2	Downregulated
801	gene801	exp2	Downregulated
802	gene802	exp2	Downregulated
803	gene803	exp2	Downregulated
804	gene804	exp2	Downregulated
805	gene805	exp2	Downregulated
806	gene806	exp2	Downregulated
807	gene807	exp2	Downregulated
808	gene808	exp2	Downregulated
809	gene809	exp2	Downregulated
810	gene810	exp2	Downregulated
811	gene811	exp2	Downregulated
812	gene812	exp2	Downregulated
813	gene813	exp2	Downregulated
814	gene814	exp2	Downregulated
815	gene815	exp2	Downregulated
816	gene816	exp2	Downregulated
817	gene817	exp2	Downregulated
818	gene818	exp2	Downregulated
819	gene819	exp2	Downregulated
820	gene820	exp2	Downregulated
821	gene821	exp2	Downregulated
822	gene822	exp2	Downregulated
823	gene823	exp2	Downregulated
824	gene824	exp2	Downregulated
825	gene825	exp2	Downregulated
826	gene826	exp2	Downregulated
827	gene827	exp2	Downregulated
828	gene828	exp2	Downregulated
829	gene829	exp2	Downregulated
830	gene830	exp2	Downregulated
831	gene831	exp2	Downregulated
832	gene832	exp2	Downregulated
833	gene833	exp2	Downregulated
834	gene834	exp2	Downregulated
835	gene835	exp2	Downregulated
836	gene836	exp2	Downregulated
837	gene837	exp2	Downregulated
838	gene838	exp2	Downregulated
839	gene839	exp2	Downregulated
840	gene840	exp2	Downregulated
841	gene841	exp2	Downregulated
842	gene842	exp2	Downregulated
843	gene843	exp2	Downregulated
844	gene844	exp2	Downregulated
845	gene845	exp2	Downregulated
846	gene846	exp2	Downregulated
847	gene847	exp2	Downregulated
848	gene848	exp2	Downregulated
849	gene849	exp2	Downregulated
850	gene850	exp2	Downregulated
851	gene851	exp2	Downregulated
852	gene852	exp2	Downregulated
853	gene853	exp2	Downregulated
854	gene854	exp2	Downregulated
855	gene855	exp2	Downregulated
856	gene856	exp2	Downregulated
857	gene857	exp2	Downregulated
858	gene858	exp2	Downregulated
859	gene859	exp2	Downregulated
860	gene860	exp2	Downregulated
861	gene861	exp2	Downregulated
862	gene862	exp2	Downregulated
863	gene863	exp2	Downregulated
864	gene864	exp2	Downregulated
865	gene865	exp2	Downregulated
866	gene866	exp2	Downregulated
867	gene867	exp2	Downregulated
868	gene868	exp2	Downregulated
869	gene869	exp2	Downregulated
870	gene870	exp2	Downregulated
871	gene871	exp2	Downregulated
872	gene872	exp2	Downregulated
873	gene873	exp2	Downregulated
874	gene874	exp2	Downregulated
875	gene875	exp2	Downregulated
876	gene876	exp2	Downregulated
877	gene877	exp2	Downregulated
878	gene878	exp2	Downregulated
879	gene879	exp2	Downregulated
880	gene880	exp2	Downregulated
881	gene881	exp2	Downregulated
882	gene882	exp2	Downregulated
883	gene883	exp2	Downregulated
884	gene884	exp2	Downregulated
885	gene885	exp2	Downregulated
886	gene886	exp2	Downregulated
887	gene887	exp2	Downregulated
888	gene888	exp2	Downregulated
889	gene889	exp2	Downregulated
890	gene890	exp2	Downregulated
891	gene891	exp2	Downregulated
892	gene892	exp2	Downregulated
893	gene893	exp2	Downregulated
894	gene894	exp2	Downregulated
895	gene895	exp2	Downregulated
896	gene896	exp2	Downregulated
897	gene897	exp2	Downregulated
898	gene898	exp2	Downregulated
899	gene899	exp2	Downregulated
900	gene900	exp2	Downregulated
901	gene901	exp3	Upregulated
902	gene902	exp3	Upregulated
903	gene903	exp3	Upregulated
904	gene904	exp3	Upregulated
905	gene905	exp3	Upregulated
906	gene906	exp3	Upregulated
907	gene907	exp3	Upregulated
908	gene908	exp3	Upregulated
909	gene909	exp3	Upregulated
910	gene910	exp3	Upregulated
911	gene911	exp3	Upregulated
