Gene Model Direction
121 gene121 exp Upregulated
122 gene122 exp Upregulated
123 gene123 exp Upregulated
124 gene124 exp Upregulated
125 gene125 exp Upregulated
126 gene126 exp Upregulated
127 gene127 exp Upregulated
128 gene128 exp Upregulated
129 gene129 exp Upregulated
130 gene130 exp Upregulated
131 gene131 exp Upregulated
132 gene132 exp Upregulated
133 gene133 exp Upregulated
134 gene134 exp Upregulated
135 gene135 exp Upregulated
136 gene136 exp Upregulated
137 gene137 exp Upregulated
138 gene138 exp Upregulated
139 gene139 exp Upregulated
140 gene140 exp Upregulated
141 gene141 exp Upregulated
142 gene142 exp Upregulated
143 gene143 exp Upregulated
144 gene144 exp Upregulated
145 gene145 exp Upregulated
146 gene146 exp Upregulated
147 gene147 exp Upregulated
148 gene148 exp Upregulated
149 gene149 exp Upregulated
150 gene150 exp Upregulated
151 gene151 exp Downregulated
152 gene152 exp Downregulated
153 gene153 exp Downregulated
154 gene154 exp Downregulated
155 gene155 exp Downregulated
156 gene156 exp Downregulated
157 gene157 exp Downregulated
158 gene158 exp Downregulated
159 gene159 exp Downregulated
160 gene160 exp Downregulated
161 gene161 exp Downregulated
162 gene162 exp Downregulated
163 gene163 exp Downregulated
164 gene164 exp Downregulated
165 gene165 exp Downregulated
166 gene166 exp Downregulated
167 gene167 exp Downregulated
168 gene168 exp Downregulated
169 gene169 exp Downregulated
170 gene170 exp Downregulated
171 gene171 exp Downregulated
172 gene172 exp Downregulated
173 gene173 exp Downregulated
174 gene174 exp Downregulated
175 gene175 exp Downregulated
176 gene176 exp Downregulated
177 gene177 exp Downregulated
178 gene178 exp Downregulated
179 gene179 exp Downregulated
180 gene180 exp Downregulated
181 gene181 exp Downregulated
182 gene182 exp Downregulated
183 gene183 exp Downregulated
184 gene184 exp Downregulated
185 gene185 exp Downregulated
186 gene186 exp Downregulated
187 gene187 exp Downregulated
188 gene188 exp Downregulated
189 gene189 exp Downregulated
190 gene190 exp Downregulated
191 gene191 exp Downregulated
192 gene192 exp Downregulated
193 gene193 exp Downregulated
194 gene194 exp Downregulated
195 gene195 exp Downregulated
196 gene196 exp Downregulated
197 gene197 exp Downregulated
198 gene198 exp Downregulated
199 gene199 exp Downregulated
200 gene200 exp Downregulated
201 gene201 exp2 Upregulated
202 gene202 exp2 Upregulated
203 gene203 exp2 Upregulated
204 gene204 exp2 Upregulated
205 gene205 exp2 Upregulated
206 gene206 exp2 Upregulated
207 gene207 exp2 Upregulated
208 gene208 exp2 Upregulated
209 gene209 exp2 Upregulated
210 gene210 exp2 Upregulated
211 gene211 exp2 Upregulated
212 gene212 exp2 Upregulated
213 gene213 exp2 Upregulated
214 gene214 exp2 Upregulated
215 gene215 exp2 Upregulated
216 gene216 exp2 Upregulated
217 gene217 exp2 Upregulated
218 gene218 exp2 Upregulated
219 gene219 exp2 Upregulated
220 gene220 exp2 Upregulated
221 gene221 exp2 Upregulated
222 gene222 exp2 Upregulated
223 gene223 exp2 Upregulated
224 gene224 exp2 Upregulated
225 gene225 exp2 Upregulated
226 gene226 exp2 Upregulated
227 gene227 exp2 Upregulated
228 gene228 exp2 Upregulated
229 gene229 exp2 Upregulated
230 gene230 exp2 Upregulated
231 gene231 exp2 Upregulated
232 gene232 exp2 Upregulated
233 gene233 exp2 Upregulated
234 gene234 exp2 Upregulated
235 gene235 exp2 Upregulated
236 gene236 exp2 Upregulated
237 gene237 exp2 Upregulated
238 gene238 exp2 Upregulated
239 gene239 exp2 Upregulated
240 gene240 exp2 Upregulated
241 gene241 exp2 Upregulated
242 gene242 exp2 Upregulated
243 gene243 exp2 Upregulated
244 gene244 exp2 Upregulated
245 gene245 exp2 Upregulated
246 gene246 exp2 Upregulated
247 gene247 exp2 Upregulated
248 gene248 exp2 Upregulated
249 gene249 exp2 Upregulated
250 gene250 exp2 Upregulated
251 gene251 exp2 Downregulated
252 gene252 exp2 Downregulated
253 gene253 exp2 Downregulated
254 gene254 exp2 Downregulated
255 gene255 exp2 Downregulated
256 gene256 exp2 Downregulated
257 gene257 exp2 Downregulated
258 gene258 exp2 Downregulated
259 gene259 exp2 Downregulated
260 gene260 exp2 Downregulated
261 gene261 exp2 Downregulated
262 gene262 exp2 Downregulated
263 gene263 exp2 Downregulated
264 gene264 exp2 Downregulated
265 gene265 exp2 Downregulated
266 gene266 exp2 Downregulated
267 gene267 exp2 Downregulated
268 gene268 exp2 Downregulated
269 gene269 exp2 Downregulated
270 gene270 exp2 Downregulated
271 gene271 exp2 Downregulated
272 gene272 exp2 Downregulated
273 gene273 exp2 Downregulated
274 gene274 exp2 Downregulated
275 gene275 exp2 Downregulated
276 gene276 exp2 Downregulated
277 gene277 exp2 Downregulated
278 gene278 exp2 Downregulated
279 gene279 exp2 Downregulated
280 gene280 exp2 Downregulated
281 gene281 exp2 Downregulated
282 gene282 exp2 Downregulated
283 gene283 exp2 Downregulated
284 gene284 exp2 Downregulated
285 gene285 exp2 Downregulated
286 gene286 exp2 Downregulated
287 gene287 exp2 Downregulated
288 gene288 exp2 Downregulated
289 gene289 exp2 Downregulated
290 gene290 exp2 Downregulated
291 gene291 exp2 Downregulated
292 gene292 exp2 Downregulated
293 gene293 exp2 Downregulated
294 gene294 exp2 Downregulated
295 gene295 exp2 Downregulated
296 gene296 exp2 Downregulated
297 gene297 exp2 Downregulated
298 gene298 exp2 Downregulated
299 gene299 exp2 Downregulated
300 gene300 exp2 Downregulated
301 gene301 exp3 Upregulated
302 gene302 exp3 Upregulated
303 gene303 exp3 Upregulated
304 gene304 exp3 Upregulated
305 gene305 exp3 Upregulated
306 gene306 exp3 Upregulated
307 gene307 exp3 Upregulated
308 gene308 exp3 Upregulated
309 gene309 exp3 Upregulated
310 gene310 exp3 Upregulated
311 gene311 exp3 Upregulated
312 gene312 exp3 Upregulated
313 gene313 exp3 Upregulated
314 gene314 exp3 Upregulated
315 gene315 exp3 Upregulated
316 gene316 exp3 Upregulated
317 gene317 exp3 Upregulated
318 gene318 exp3 Upregulated
319 gene319 exp3 Upregulated
320 gene320 exp3 Upregulated
321 gene321 exp3 Upregulated
322 gene322 exp3 Upregulated
323 gene323 exp3 Upregulated
324 gene324 exp3 Upregulated
325 gene325 exp3 Upregulated
326 gene326 exp3 Upregulated
327 gene327 exp3 Upregulated
328 gene328 exp3 Upregulated
329 gene329 exp3 Upregulated
330 gene330 exp3 Upregulated
331 gene331 exp3 Upregulated
332 gene332 exp3 Upregulated
333 gene333 exp3 Upregulated
334 gene334 exp3 Upregulated
335 gene335 exp3 Upregulated
336 gene336 exp3 Upregulated
337 gene337 exp3 Upregulated
338 gene338 exp3 Upregulated
339 gene339 exp3 Upregulated
340 gene340 exp3 Upregulated
341 gene341 exp3 Upregulated
342 gene342 exp3 Upregulated
343 gene343 exp3 Upregulated
344 gene344 exp3 Upregulated
345 gene345 exp3 Upregulated
346 gene346 exp3 Upregulated
347 gene347 exp3 Upregulated
348 gene348 exp3 Upregulated
349 gene349 exp3 Upregulated
350 gene350 exp3 Upregulated
351 gene351 exp3 Downregulated
352 gene352 exp3 Downregulated
353 gene353 exp3 Downregulated
354 gene354 exp3 Downregulated
355 gene355 exp3 Downregulated
356 gene356 exp3 Downregulated
357 gene357 exp3 Downregulated
358 gene358 exp3 Downregulated
359 gene359 exp3 Downregulated
360 gene360 exp3 Downregulated
361 gene361 exp3 Downregulated
362 gene362 exp3 Downregulated
363 gene363 exp3 Downregulated
364 gene364 exp3 Downregulated
365 gene365 exp3 Downregulated
366 gene366 exp3 Downregulated
367 gene367 exp3 Downregulated
368 gene368 exp3 Downregulated
369 gene369 exp3 Downregulated
370 gene370 exp3 Downregulated
371 gene371 exp3 Downregulated
372 gene372 exp3 Downregulated
373 gene373 exp3 Downregulated
374 gene374 exp3 Downregulated
375 gene375 exp3 Downregulated
376 gene376 exp3 Downregulated
377 gene377 exp3 Downregulated
378 gene378 exp3 Downregulated
379 gene379 exp3 Downregulated
380 gene380 exp3 Downregulated
381 gene381 exp3 Downregulated
382 gene382 exp3 Downregulated
383 gene383 exp3 Downregulated
384 gene384 exp3 Downregulated
385 gene385 exp3 Downregulated
386 gene386 exp3 Downregulated
387 gene387 exp3 Downregulated
388 gene388 exp3 Downregulated
389 gene389 exp3 Downregulated
390 gene390 exp3 Downregulated
391 gene391 exp3 Downregulated
392 gene392 exp3 Downregulated
393 gene393 exp3 Downregulated
394 gene394 exp3 Downregulated
395 gene395 exp3 Downregulated
396 gene396 exp3 Downregulated
397 gene397 exp3 Downregulated
398 gene398 exp3 Downregulated
399 gene399 exp3 Downregulated
400 gene400 exp3 Downregulated
401 gene401 power Upregulated
402 gene402 power Upregulated
403 gene403 power Upregulated
404 gene404 power Upregulated
405 gene405 power Upregulated
406 gene406 power Upregulated
407 gene407 power Upregulated
408 gene408 power Upregulated
409 gene409 power Upregulated
410 gene410 power Upregulated
411 gene411 power Upregulated
412 gene412 power Upregulated
413 gene413 power Upregulated
414 gene414 power Upregulated
415 gene415 power Upregulated
416 gene416 power Upregulated
417 gene417 power Upregulated
418 gene418 power Upregulated
419 gene419 power Upregulated
420 gene420 power Upregulated
421 gene421 power Upregulated
422 gene422 power Upregulated
423 gene423 power Upregulated
424 gene424 power Upregulated
425 gene425 power Upregulated
426 gene426 power Upregulated
427 gene427 power Upregulated
428 gene428 power Upregulated
429 gene429 power Upregulated
430 gene430 power Upregulated
431 gene431 power Upregulated
432 gene432 power Upregulated
433 gene433 power Upregulated
434 gene434 power Upregulated
435 gene435 power Upregulated
436 gene436 power Upregulated
437 gene437 power Upregulated
438 gene438 power Upregulated
439 gene439 power Upregulated
440 gene440 power Upregulated
441 gene441 power Upregulated
442 gene442 power Upregulated
443 gene443 power Upregulated
444 gene444 power Upregulated
445 gene445 power Upregulated
446 gene446 power Upregulated
447 gene447 power Upregulated
448 gene448 power Upregulated
449 gene449 power Upregulated
450 gene450 power Upregulated
451 gene451 power Downregulated
452 gene452 power Downregulated
453 gene453 power Downregulated
454 gene454 power Downregulated
455 gene455 power Downregulated
456 gene456 power Downregulated
457 gene457 power Downregulated
458 gene458 power Downregulated
459 gene459 power Downregulated
460 gene460 power Downregulated
461 gene461 power Downregulated
462 gene462 power Downregulated
463 gene463 power Downregulated
464 gene464 power Downregulated
465 gene465 power Downregulated
466 gene466 power Downregulated
467 gene467 power Downregulated
468 gene468 power Downregulated
469 gene469 power Downregulated
470 gene470 power Downregulated
471 gene471 power Downregulated
472 gene472 power Downregulated
473 gene473 power Downregulated
474 gene474 power Downregulated
475 gene475 power Downregulated
476 gene476 power Downregulated
477 gene477 power Downregulated
478 gene478 power Downregulated
479 gene479 power Downregulated
480 gene480 power Downregulated
481 gene481 power Downregulated
482 gene482 power Downregulated
483 gene483 power Downregulated
484 gene484 power Downregulated
485 gene485 power Downregulated
486 gene486 power Downregulated
487 gene487 power Downregulated
488 gene488 power Downregulated
489 gene489 power Downregulated
490 gene490 power Downregulated
491 gene491 power Downregulated
492 gene492 power Downregulated
493 gene493 power Downregulated
494 gene494 power Downregulated
495 gene495 power Downregulated
496 gene496 power Downregulated
497 gene497 power Downregulated
498 gene498 power Downregulated
499 gene499 power Downregulated
500 gene500 power Downregulated
501 gene501 linear Upregulated
502 gene502 linear Upregulated
503 gene503 linear Upregulated
504 gene504 linear Upregulated
505 gene505 linear Upregulated
506 gene506 linear Upregulated
507 gene507 linear Upregulated
508 gene508 linear Upregulated
509 gene509 linear Upregulated
510 gene510 linear Upregulated
511 gene511 linear Upregulated
512 gene512 linear Upregulated
513 gene513 linear Upregulated
514 gene514 linear Upregulated
515 gene515 linear Upregulated
516 gene516 linear Upregulated
517 gene517 linear Upregulated
518 gene518 linear Upregulated
519 gene519 linear Upregulated
520 gene520 linear Upregulated
521 gene521 linear Upregulated
522 gene522 linear Upregulated
523 gene523 linear Upregulated
524 gene524 linear Upregulated
525 gene525 linear Upregulated
526 gene526 linear Upregulated
527 gene527 linear Upregulated
528 gene528 linear Upregulated
529 gene529 linear Upregulated
530 gene530 linear Upregulated
531 gene531 linear Upregulated
532 gene532 linear Upregulated
533 gene533 linear Upregulated
534 gene534 linear Upregulated
535 gene535 linear Upregulated
536 gene536 linear Upregulated
537 gene537 linear Upregulated
538 gene538 linear Upregulated
539 gene539 linear Upregulated
540 gene540 linear Upregulated
541 gene541 linear Upregulated
542 gene542 linear Upregulated
543 gene543 linear Upregulated
544 gene544 linear Upregulated
545 gene545 linear Upregulated
546 gene546 linear Upregulated
547 gene547 linear Upregulated
548 gene548 linear Upregulated
549 gene549 linear Upregulated
550 gene550 linear Upregulated
551 gene551 linear Downregulated
552 gene552 linear Downregulated
553 gene553 linear Downregulated
554 gene554 linear Downregulated
555 gene555 linear Downregulated
556 gene556 linear Downregulated
557 gene557 linear Downregulated
558 gene558 linear Downregulated
559 gene559 linear Downregulated
560 gene560 linear Downregulated
561 gene561 linear Downregulated
562 gene562 linear Downregulated
563 gene563 linear Downregulated
564 gene564 linear Downregulated
565 gene565 linear Downregulated
566 gene566 linear Downregulated
567 gene567 linear Downregulated
568 gene568 linear Downregulated
569 gene569 linear Downregulated
570 gene570 linear Downregulated
571 gene571 linear Downregulated
572 gene572 linear Downregulated
573 gene573 linear Downregulated
574 gene574 linear Downregulated
575 gene575 linear Downregulated
576 gene576 linear Downregulated
577 gene577 linear Downregulated
578 gene578 linear Downregulated
579 gene579 linear Downregulated
580 gene580 linear Downregulated
581 gene581 linear Downregulated
582 gene582 linear Downregulated
583 gene583 linear Downregulated
584 gene584 linear Downregulated
585 gene585 linear Downregulated
586 gene586 linear Downregulated
587 gene587 linear Downregulated
588 gene588 linear Downregulated
589 gene589 linear Downregulated
590 gene590 linear Downregulated
591 gene591 linear Downregulated
592 gene592 linear Downregulated
593 gene593 linear Downregulated
594 gene594 linear Downregulated
595 gene595 linear Downregulated
596 gene596 linear Downregulated
597 gene597 linear Downregulated
598 gene598 linear Downregulated
599 gene599 linear Downregulated
600 gene600 linear Downregulated
601 gene601 unchanged Unchanged
602 gene602 unchanged Unchanged
603 gene603 unchanged Unchanged
604 gene604 unchanged Unchanged
605 gene605 unchanged Unchanged
606 gene606 unchanged Unchanged
607 gene607 unchanged Unchanged
608 gene608 unchanged Unchanged
609 gene609 unchanged Unchanged
610 gene610 unchanged Unchanged
611 gene611 unchanged Unchanged
612 gene612 unchanged Unchanged
613 gene613 unchanged Unchanged
614 gene614 unchanged Unchanged
615 gene615 unchanged Unchanged
616 gene616 unchanged Unchanged
617 gene617 unchanged Unchanged
618 gene618 unchanged Unchanged
619 gene619 unchanged Unchanged
620 gene620 unchanged Unchanged
621 gene621 unchanged Unchanged
622 gene622 unchanged Unchanged
623 gene623 unchanged Unchanged
624 gene624 unchanged Unchanged
625 gene625 unchanged Unchanged
626 gene626 unchanged Unchanged
627 gene627 unchanged Unchanged
628 gene628 unchanged Unchanged
629 gene629 unchanged Unchanged
630 gene630 unchanged Unchanged
631 gene631 unchanged Unchanged
632 gene632 unchanged Unchanged
633 gene633 unchanged Unchanged
634 gene634 unchanged Unchanged
635 gene635 unchanged Unchanged
636 gene636 unchanged Unchanged
637 gene637 unchanged Unchanged
638 gene638 unchanged Unchanged
639 gene639 unchanged Unchanged
640 gene640 unchanged Unchanged
641 gene641 unchanged Unchanged
642 gene642 unchanged Unchanged
643 gene643 unchanged Unchanged
644 gene644 unchanged Unchanged
645 gene645 unchanged Unchanged
646 gene646 unchanged Unchanged
647 gene647 unchanged Unchanged
648 gene648 unchanged Unchanged
649 gene649 unchanged Unchanged
650 gene650 unchanged Unchanged
651 gene651 unchanged Unchanged
652 gene652 unchanged Unchanged
653 gene653 unchanged Unchanged
654 gene654 unchanged Unchanged
655 gene655 unchanged Unchanged
656 gene656 unchanged Unchanged
657 gene657 unchanged Unchanged
658 gene658 unchanged Unchanged
659 gene659 unchanged Unchanged
660 gene660 unchanged Unchanged
661 gene661 unchanged Unchanged
662 gene662 unchanged Unchanged
663 gene663 unchanged Unchanged
664 gene664 unchanged Unchanged
665 gene665 unchanged Unchanged
666 gene666 unchanged Unchanged
667 gene667 unchanged Unchanged
668 gene668 unchanged Unchanged
669 gene669 unchanged Unchanged
670 gene670 unchanged Unchanged
671 gene671 unchanged Unchanged
672 gene672 unchanged Unchanged
673 gene673 unchanged Unchanged
674 gene674 unchanged Unchanged
675 gene675 unchanged Unchanged
676 gene676 unchanged Unchanged
677 gene677 unchanged Unchanged
678 gene678 unchanged Unchanged
679 gene679 unchanged Unchanged
680 gene680 unchanged Unchanged
681 gene681 unchanged Unchanged
682 gene682 unchanged Unchanged
683 gene683 unchanged Unchanged
684 gene684 unchanged Unchanged
685 gene685 unchanged Unchanged
686 gene686 unchanged Unchanged
687 gene687 unchanged Unchanged
688 gene688 unchanged Unchanged
689 gene689 unchanged Unchanged
690 gene690 unchanged Unchanged
691 gene691 unchanged Unchanged
692 gene692 unchanged Unchanged
693 gene693 unchanged Unchanged
694 gene694 unchanged Unchanged
695 gene695 unchanged Unchanged
696 gene696 unchanged Unchanged
697 gene697 unchanged Unchanged
698 gene698 unchanged Unchanged
699 gene699 unchanged Unchanged
700 gene700 unchanged Unchanged
701 gene701 unchanged Unchanged
702 gene702 unchanged Unchanged
703 gene703 unchanged Unchanged
704 gene704 unchanged Unchanged
705 gene705 unchanged Unchanged
706 gene706 unchanged Unchanged
707 gene707 unchanged Unchanged
708 gene708 unchanged Unchanged
709 gene709 unchanged Unchanged
710 gene710 unchanged Unchanged
711 gene711 unchanged Unchanged
712 gene712 unchanged Unchanged
713 gene713 unchanged Unchanged
714 gene714 unchanged Unchanged
715 gene715 unchanged Unchanged
716 gene716 unchanged Unchanged
717 gene717 unchanged Unchanged
718 gene718 unchanged Unchanged
719 gene719 unchanged Unchanged
720 gene720 unchanged Unchanged
721 gene721 unchanged Unchanged
722 gene722 unchanged Unchanged
723 gene723 unchanged Unchanged
724 gene724 unchanged Unchanged
725 gene725 unchanged Unchanged
726 gene726 unchanged Unchanged
727 gene727 unchanged Unchanged
728 gene728 unchanged Unchanged
729 gene729 unchanged Unchanged
730 gene730 unchanged Unchanged
731 gene731 unchanged Unchanged
732 gene732 unchanged Unchanged
733 gene733 unchanged Unchanged
734 gene734 unchanged Unchanged
735 gene735 unchanged Unchanged
736 gene736 unchanged Unchanged
737 gene737 unchanged Unchanged
738 gene738 unchanged Unchanged
739 gene739 unchanged Unchanged
740 gene740 unchanged Unchanged
741 gene741 unchanged Unchanged
742 gene742 unchanged Unchanged
743 gene743 unchanged Unchanged
744 gene744 unchanged Unchanged
745 gene745 unchanged Unchanged
746 gene746 unchanged Unchanged
747 gene747 unchanged Unchanged
748 gene748 unchanged Unchanged
749 gene749 unchanged Unchanged
750 gene750 unchanged Unchanged
751 gene751 unchanged Unchanged
752 gene752 unchanged Unchanged
753 gene753 unchanged Unchanged
754 gene754 unchanged Unchanged
755 gene755 unchanged Unchanged
756 gene756 unchanged Unchanged
757 gene757 unchanged Unchanged
758 gene758 unchanged Unchanged
759 gene759 unchanged Unchanged
760 gene760 unchanged Unchanged
761 gene761 unchanged Unchanged
762 gene762 unchanged Unchanged
763 gene763 unchanged Unchanged
764 gene764 unchanged Unchanged
765 gene765 unchanged Unchanged
766 gene766 unchanged Unchanged
767 gene767 unchanged Unchanged
768 gene768 unchanged Unchanged
769 gene769 unchanged Unchanged
770 gene770 unchanged Unchanged
771 gene771 unchanged Unchanged
772 gene772 unchanged Unchanged
773 gene773 unchanged Unchanged
774 gene774 unchanged Unchanged
775 gene775 unchanged Unchanged
776 gene776 unchanged Unchanged
777 gene777 unchanged Unchanged
778 gene778 unchanged Unchanged
779 gene779 unchanged Unchanged
780 gene780 unchanged Unchanged
781 gene781 unchanged Unchanged
782 gene782 unchanged Unchanged
783 gene783 unchanged Unchanged
784 gene784 unchanged Unchanged
785 gene785 unchanged Unchanged
786 gene786 unchanged Unchanged
787 gene787 unchanged Unchanged
788 gene788 unchanged Unchanged
789 gene789 unchanged Unchanged
790 gene790 unchanged Unchanged
791 gene791 unchanged Unchanged
792 gene792 unchanged Unchanged
793 gene793 unchanged Unchanged
794 gene794 unchanged Unchanged
795 gene795 unchanged Unchanged
796 gene796 unchanged Unchanged
797 gene797 unchanged Unchanged
798 gene798 unchanged Unchanged
799 gene799 unchanged Unchanged
800 gene800 unchanged Unchanged
801 gene801 unchanged Unchanged
802 gene802 unchanged Unchanged
803 gene803 unchanged Unchanged
804 gene804 unchanged Unchanged
805 gene805 unchanged Unchanged
806 gene806 unchanged Unchanged
807 gene807 unchanged Unchanged
808 gene808 unchanged Unchanged
809 gene809 unchanged Unchanged
810 gene810 unchanged Unchanged
811 gene811 unchanged Unchanged
812 gene812 unchanged Unchanged
813 gene813 unchanged Unchanged
814 gene814 unchanged Unchanged
815 gene815 unchanged Unchanged
816 gene816 unchanged Unchanged
817 gene817 unchanged Unchanged
818 gene818 unchanged Unchanged
819 gene819 unchanged Unchanged
820 gene820 unchanged Unchanged
821 gene821 unchanged Unchanged
822 gene822 unchanged Unchanged
823 gene823 unchanged Unchanged
824 gene824 unchanged Unchanged
825 gene825 unchanged Unchanged
826 gene826 unchanged Unchanged
827 gene827 unchanged Unchanged
828 gene828 unchanged Unchanged
829 gene829 unchanged Unchanged
830 gene830 unchanged Unchanged
831 gene831 unchanged Unchanged
832 gene832 unchanged Unchanged
833 gene833 unchanged Unchanged
834 gene834 unchanged Unchanged
835 gene835 unchanged Unchanged
836 gene836 unchanged Unchanged
837 gene837 unchanged Unchanged
838 gene838 unchanged Unchanged
839 gene839 unchanged Unchanged
840 gene840 unchanged Unchanged
841 gene841 unchanged Unchanged
842 gene842 unchanged Unchanged
843 gene843 unchanged Unchanged
844 gene844 unchanged Unchanged
845 gene845 unchanged Unchanged
846 gene846 unchanged Unchanged
847 gene847 unchanged Unchanged
848 gene848 unchanged Unchanged
849 gene849 unchanged Unchanged
850 gene850 unchanged Unchanged
851 gene851 unchanged Unchanged
852 gene852 unchanged Unchanged
853 gene853 unchanged Unchanged
854 gene854 unchanged Unchanged
855 gene855 unchanged Unchanged
856 gene856 unchanged Unchanged
857 gene857 unchanged Unchanged
858 gene858 unchanged Unchanged
859 gene859 unchanged Unchanged
860 gene860 unchanged Unchanged
861 gene861 unchanged Unchanged
862 gene862 unchanged Unchanged
863 gene863 unchanged Unchanged
864 gene864 unchanged Unchanged
865 gene865 unchanged Unchanged
866 gene866 unchanged Unchanged
867 gene867 unchanged Unchanged
868 gene868 unchanged Unchanged
869 gene869 unchanged Unchanged
870 gene870 unchanged Unchanged
871 gene871 unchanged Unchanged
872 gene872 unchanged Unchanged
873 gene873 unchanged Unchanged
874 gene874 unchanged Unchanged
875 gene875 unchanged Unchanged
876 gene876 unchanged Unchanged
877 gene877 unchanged Unchanged
878 gene878 unchanged Unchanged
879 gene879 unchanged Unchanged
880 gene880 unchanged Unchanged
881 gene881 unchanged Unchanged
882 gene882 unchanged Unchanged
883 gene883 unchanged Unchanged
884 gene884 unchanged Unchanged
885 gene885 unchanged Unchanged
886 gene886 unchanged Unchanged
887 gene887 unchanged Unchanged
888 gene888 unchanged Unchanged
889 gene889 unchanged Unchanged
890 gene890 unchanged Unchanged
891 gene891 unchanged Unchanged
892 gene892 unchanged Unchanged
893 gene893 unchanged Unchanged
894 gene894 unchanged Unchanged
895 gene895 unchanged Unchanged
896 gene896 unchanged Unchanged
897 gene897 unchanged Unchanged
898 gene898 unchanged Unchanged
899 gene899 unchanged Unchanged
900 gene900 unchanged Unchanged
901 gene901 unchanged Unchanged
902 gene902 unchanged Unchanged
903 gene903 unchanged Unchanged
904 gene904 unchanged Unchanged
905 gene905 unchanged Unchanged
906 gene906 unchanged Unchanged
907 gene907 unchanged Unchanged
908 gene908 unchanged Unchanged
909 gene909 unchanged Unchanged
910 gene910 unchanged Unchanged
911 gene911 unchanged Unchanged
912 gene912 unchanged Unchanged
913 gene913 unchanged Unchanged
914 gene914 unchanged Unchanged
915 gene915 unchanged Unchanged
916 gene916 unchanged Unchanged
917 gene917 unchanged Unchanged
918 gene918 unchanged Unchanged
919 gene919 unchanged Unchanged
920 gene920 unchanged Unchanged
921 gene921 unchanged Unchanged
922 gene922 unchanged Unchanged
923 gene923 unchanged Unchanged
924 gene924 unchanged Unchanged
925 gene925 unchanged Unchanged
926 gene926 unchanged Unchanged
927 gene927 unchanged Unchanged
928 gene928 unchanged Unchanged
929 gene929 unchanged Unchanged
930 gene930 unchanged Unchanged
