barcode Dose
X444_0.01 X444_0.01 0.01
X445_0.01 X445_0.01 0.01
X446_0.01 X446_0.01 0.01
X447_0.01 X447_0.01 0.01
X448_0.01 X448_0.01 0.01
X449_0.01 X449_0.01 0.01
X450_0.01 X450_0.01 0.01
X451_0.01 X451_0.01 0.01
X452_0.01 X452_0.01 0.01
X453_0.01 X453_0.01 0.01
X454_0.01 X454_0.01 0.01
X455_0.01 X455_0.01 0.01
X456_0.01 X456_0.01 0.01
X457_0.01 X457_0.01 0.01
X458_0.01 X458_0.01 0.01
X459_0.01 X459_0.01 0.01
X460_0.01 X460_0.01 0.01
X461_0.01 X461_0.01 0.01
X462_0.01 X462_0.01 0.01
X463_0.01 X463_0.01 0.01
X464_0.01 X464_0.01 0.01
X465_0.01 X465_0.01 0.01
X466_0.01 X466_0.01 0.01
X467_0.01 X467_0.01 0.01
X468_0.01 X468_0.01 0.01
X469_0.01 X469_0.01 0.01
X470_0.01 X470_0.01 0.01
X471_0.01 X471_0.01 0.01
X472_0.01 X472_0.01 0.01
X473_0.01 X473_0.01 0.01
X474_0.01 X474_0.01 0.01
X475_0.01 X475_0.01 0.01
X476_0.01 X476_0.01 0.01
X477_0.01 X477_0.01 0.01
X478_0.01 X478_0.01 0.01
X479_0.01 X479_0.01 0.01
X480_0.01 X480_0.01 0.01
X481_0.01 X481_0.01 0.01
X482_0.01 X482_0.01 0.01
X483_0.01 X483_0.01 0.01
X484_0.01 X484_0.01 0.01
X485_0.01 X485_0.01 0.01
X486_0.01 X486_0.01 0.01
X487_0.01 X487_0.01 0.01
X488_0.01 X488_0.01 0.01
X489_0.01 X489_0.01 0.01
X490_0.01 X490_0.01 0.01
X491_0.01 X491_0.01 0.01
X492_0.01 X492_0.01 0.01
X493_0.01 X493_0.01 0.01
X494_0.01 X494_0.01 0.01
X495_0.01 X495_0.01 0.01
X496_0.01 X496_0.01 0.01
X497_0.01 X497_0.01 0.01
X498_0.01 X498_0.01 0.01
X499_0.01 X499_0.01 0.01
X500_0.01 X500_0.01 0.01
X1_0.03 X1_0.03 0.03
X2_0.03 X2_0.03 0.03
X3_0.03 X3_0.03 0.03
X4_0.03 X4_0.03 0.03
X5_0.03 X5_0.03 0.03
X6_0.03 X6_0.03 0.03
X7_0.03 X7_0.03 0.03
X8_0.03 X8_0.03 0.03
X9_0.03 X9_0.03 0.03
X10_0.03 X10_0.03 0.03
X11_0.03 X11_0.03 0.03
X12_0.03 X12_0.03 0.03
X13_0.03 X13_0.03 0.03
X14_0.03 X14_0.03 0.03
X15_0.03 X15_0.03 0.03
X16_0.03 X16_0.03 0.03
X17_0.03 X17_0.03 0.03
X18_0.03 X18_0.03 0.03
X19_0.03 X19_0.03 0.03
X20_0.03 X20_0.03 0.03
X21_0.03 X21_0.03 0.03
X22_0.03 X22_0.03 0.03
X23_0.03 X23_0.03 0.03
X24_0.03 X24_0.03 0.03
X25_0.03 X25_0.03 0.03
X26_0.03 X26_0.03 0.03
X27_0.03 X27_0.03 0.03
X28_0.03 X28_0.03 0.03
X29_0.03 X29_0.03 0.03
X30_0.03 X30_0.03 0.03
X31_0.03 X31_0.03 0.03
X32_0.03 X32_0.03 0.03
X33_0.03 X33_0.03 0.03
X34_0.03 X34_0.03 0.03
X35_0.03 X35_0.03 0.03
X36_0.03 X36_0.03 0.03
X37_0.03 X37_0.03 0.03
X38_0.03 X38_0.03 0.03
X39_0.03 X39_0.03 0.03
X40_0.03 X40_0.03 0.03
X41_0.03 X41_0.03 0.03
X42_0.03 X42_0.03 0.03
X43_0.03 X43_0.03 0.03
X44_0.03 X44_0.03 0.03
X45_0.03 X45_0.03 0.03
X46_0.03 X46_0.03 0.03
X47_0.03 X47_0.03 0.03
X48_0.03 X48_0.03 0.03
X49_0.03 X49_0.03 0.03
X50_0.03 X50_0.03 0.03
X51_0.03 X51_0.03 0.03
X52_0.03 X52_0.03 0.03
X53_0.03 X53_0.03 0.03
X54_0.03 X54_0.03 0.03
X55_0.03 X55_0.03 0.03
X56_0.03 X56_0.03 0.03
X57_0.03 X57_0.03 0.03
X58_0.03 X58_0.03 0.03
X59_0.03 X59_0.03 0.03
X60_0.03 X60_0.03 0.03
X61_0.03 X61_0.03 0.03
X62_0.03 X62_0.03 0.03
X63_0.03 X63_0.03 0.03
X64_0.03 X64_0.03 0.03
X65_0.03 X65_0.03 0.03
X66_0.03 X66_0.03 0.03
X67_0.03 X67_0.03 0.03
X68_0.03 X68_0.03 0.03
X69_0.03 X69_0.03 0.03
X70_0.03 X70_0.03 0.03
X71_0.03 X71_0.03 0.03
X72_0.03 X72_0.03 0.03
X73_0.03 X73_0.03 0.03
X74_0.03 X74_0.03 0.03
X75_0.03 X75_0.03 0.03
X76_0.03 X76_0.03 0.03
X77_0.03 X77_0.03 0.03
X78_0.03 X78_0.03 0.03
X79_0.03 X79_0.03 0.03
X80_0.03 X80_0.03 0.03
X81_0.03 X81_0.03 0.03
X82_0.03 X82_0.03 0.03
X83_0.03 X83_0.03 0.03
X84_0.03 X84_0.03 0.03
X85_0.03 X85_0.03 0.03
X86_0.03 X86_0.03 0.03
X87_0.03 X87_0.03 0.03
X88_0.03 X88_0.03 0.03
X89_0.03 X89_0.03 0.03
X90_0.03 X90_0.03 0.03
X91_0.03 X91_0.03 0.03
X92_0.03 X92_0.03 0.03
X93_0.03 X93_0.03 0.03
X94_0.03 X94_0.03 0.03
X95_0.03 X95_0.03 0.03
X96_0.03 X96_0.03 0.03
X97_0.03 X97_0.03 0.03
X98_0.03 X98_0.03 0.03
X99_0.03 X99_0.03 0.03
X100_0.03 X100_0.03 0.03
X101_0.03 X101_0.03 0.03
X102_0.03 X102_0.03 0.03
X103_0.03 X103_0.03 0.03
X104_0.03 X104_0.03 0.03
X105_0.03 X105_0.03 0.03
X106_0.03 X106_0.03 0.03
X107_0.03 X107_0.03 0.03
X108_0.03 X108_0.03 0.03
X109_0.03 X109_0.03 0.03
X110_0.03 X110_0.03 0.03
X111_0.03 X111_0.03 0.03
X112_0.03 X112_0.03 0.03
X113_0.03 X113_0.03 0.03
X114_0.03 X114_0.03 0.03
X115_0.03 X115_0.03 0.03
X116_0.03 X116_0.03 0.03
X117_0.03 X117_0.03 0.03
X118_0.03 X118_0.03 0.03
X119_0.03 X119_0.03 0.03
X120_0.03 X120_0.03 0.03
X121_0.03 X121_0.03 0.03
X122_0.03 X122_0.03 0.03
X123_0.03 X123_0.03 0.03
X124_0.03 X124_0.03 0.03
X125_0.03 X125_0.03 0.03
X126_0.03 X126_0.03 0.03
X127_0.03 X127_0.03 0.03
X128_0.03 X128_0.03 0.03
X129_0.03 X129_0.03 0.03
X130_0.03 X130_0.03 0.03
X131_0.03 X131_0.03 0.03
X132_0.03 X132_0.03 0.03
X133_0.03 X133_0.03 0.03
X134_0.03 X134_0.03 0.03
X135_0.03 X135_0.03 0.03
X136_0.03 X136_0.03 0.03
X137_0.03 X137_0.03 0.03
X138_0.03 X138_0.03 0.03
X139_0.03 X139_0.03 0.03
X140_0.03 X140_0.03 0.03
X141_0.03 X141_0.03 0.03
X142_0.03 X142_0.03 0.03
X143_0.03 X143_0.03 0.03
X144_0.03 X144_0.03 0.03
X145_0.03 X145_0.03 0.03
X146_0.03 X146_0.03 0.03
X147_0.03 X147_0.03 0.03
X148_0.03 X148_0.03 0.03
X149_0.03 X149_0.03 0.03
X150_0.03 X150_0.03 0.03
X151_0.03 X151_0.03 0.03
X152_0.03 X152_0.03 0.03
X153_0.03 X153_0.03 0.03
X154_0.03 X154_0.03 0.03
X155_0.03 X155_0.03 0.03
X156_0.03 X156_0.03 0.03
X157_0.03 X157_0.03 0.03
X158_0.03 X158_0.03 0.03
X159_0.03 X159_0.03 0.03
X160_0.03 X160_0.03 0.03
X161_0.03 X161_0.03 0.03
X162_0.03 X162_0.03 0.03
X163_0.03 X163_0.03 0.03
X164_0.03 X164_0.03 0.03
X165_0.03 X165_0.03 0.03
X166_0.03 X166_0.03 0.03
X167_0.03 X167_0.03 0.03
X168_0.03 X168_0.03 0.03
X169_0.03 X169_0.03 0.03
X170_0.03 X170_0.03 0.03
X171_0.03 X171_0.03 0.03
X172_0.03 X172_0.03 0.03
X173_0.03 X173_0.03 0.03
X174_0.03 X174_0.03 0.03
X175_0.03 X175_0.03 0.03
X176_0.03 X176_0.03 0.03
X177_0.03 X177_0.03 0.03
X178_0.03 X178_0.03 0.03
X179_0.03 X179_0.03 0.03
X180_0.03 X180_0.03 0.03
X181_0.03 X181_0.03 0.03
X182_0.03 X182_0.03 0.03
X183_0.03 X183_0.03 0.03
X184_0.03 X184_0.03 0.03
X185_0.03 X185_0.03 0.03
X186_0.03 X186_0.03 0.03
X187_0.03 X187_0.03 0.03
X188_0.03 X188_0.03 0.03
X189_0.03 X189_0.03 0.03
X190_0.03 X190_0.03 0.03
X191_0.03 X191_0.03 0.03
X192_0.03 X192_0.03 0.03
X193_0.03 X193_0.03 0.03
X194_0.03 X194_0.03 0.03
X195_0.03 X195_0.03 0.03
X196_0.03 X196_0.03 0.03
X197_0.03 X197_0.03 0.03
X198_0.03 X198_0.03 0.03
X199_0.03 X199_0.03 0.03
X200_0.03 X200_0.03 0.03
X201_0.03 X201_0.03 0.03
X202_0.03 X202_0.03 0.03
X203_0.03 X203_0.03 0.03
X204_0.03 X204_0.03 0.03
X205_0.03 X205_0.03 0.03
X206_0.03 X206_0.03 0.03
X207_0.03 X207_0.03 0.03
X208_0.03 X208_0.03 0.03
X209_0.03 X209_0.03 0.03
X210_0.03 X210_0.03 0.03
X211_0.03 X211_0.03 0.03
X212_0.03 X212_0.03 0.03
X213_0.03 X213_0.03 0.03
X214_0.03 X214_0.03 0.03
X215_0.03 X215_0.03 0.03
X216_0.03 X216_0.03 0.03
X217_0.03 X217_0.03 0.03
X218_0.03 X218_0.03 0.03
X219_0.03 X219_0.03 0.03
X220_0.03 X220_0.03 0.03
X221_0.03 X221_0.03 0.03
X222_0.03 X222_0.03 0.03
X223_0.03 X223_0.03 0.03
X224_0.03 X224_0.03 0.03
X225_0.03 X225_0.03 0.03
X226_0.03 X226_0.03 0.03
X227_0.03 X227_0.03 0.03
X228_0.03 X228_0.03 0.03
X229_0.03 X229_0.03 0.03
X230_0.03 X230_0.03 0.03
X231_0.03 X231_0.03 0.03
X232_0.03 X232_0.03 0.03
X233_0.03 X233_0.03 0.03
X234_0.03 X234_0.03 0.03
X235_0.03 X235_0.03 0.03
X236_0.03 X236_0.03 0.03
X237_0.03 X237_0.03 0.03
X238_0.03 X238_0.03 0.03
X239_0.03 X239_0.03 0.03
X240_0.03 X240_0.03 0.03
X241_0.03 X241_0.03 0.03
X242_0.03 X242_0.03 0.03
X243_0.03 X243_0.03 0.03
X244_0.03 X244_0.03 0.03
X245_0.03 X245_0.03 0.03
X246_0.03 X246_0.03 0.03
X247_0.03 X247_0.03 0.03
X248_0.03 X248_0.03 0.03
X249_0.03 X249_0.03 0.03
X250_0.03 X250_0.03 0.03
X251_0.03 X251_0.03 0.03
X252_0.03 X252_0.03 0.03
X253_0.03 X253_0.03 0.03
X254_0.03 X254_0.03 0.03
X255_0.03 X255_0.03 0.03
X256_0.03 X256_0.03 0.03
X257_0.03 X257_0.03 0.03
X258_0.03 X258_0.03 0.03
X259_0.03 X259_0.03 0.03
X260_0.03 X260_0.03 0.03
X261_0.03 X261_0.03 0.03
X262_0.03 X262_0.03 0.03
X263_0.03 X263_0.03 0.03
X264_0.03 X264_0.03 0.03
X265_0.03 X265_0.03 0.03
X266_0.03 X266_0.03 0.03
X267_0.03 X267_0.03 0.03
X268_0.03 X268_0.03 0.03
X269_0.03 X269_0.03 0.03
X270_0.03 X270_0.03 0.03
X271_0.03 X271_0.03 0.03
X272_0.03 X272_0.03 0.03
X273_0.03 X273_0.03 0.03
X274_0.03 X274_0.03 0.03
X275_0.03 X275_0.03 0.03
X276_0.03 X276_0.03 0.03
X277_0.03 X277_0.03 0.03
X278_0.03 X278_0.03 0.03
X279_0.03 X279_0.03 0.03
X280_0.03 X280_0.03 0.03
X281_0.03 X281_0.03 0.03
X282_0.03 X282_0.03 0.03
X283_0.03 X283_0.03 0.03
X284_0.03 X284_0.03 0.03
X285_0.03 X285_0.03 0.03
X286_0.03 X286_0.03 0.03
X287_0.03 X287_0.03 0.03
X288_0.03 X288_0.03 0.03
X289_0.03 X289_0.03 0.03
X290_0.03 X290_0.03 0.03
X291_0.03 X291_0.03 0.03
X292_0.03 X292_0.03 0.03
X293_0.03 X293_0.03 0.03
X294_0.03 X294_0.03 0.03
X295_0.03 X295_0.03 0.03
X296_0.03 X296_0.03 0.03
X297_0.03 X297_0.03 0.03
X298_0.03 X298_0.03 0.03
X299_0.03 X299_0.03 0.03
X300_0.03 X300_0.03 0.03
X301_0.03 X301_0.03 0.03
X302_0.03 X302_0.03 0.03
X303_0.03 X303_0.03 0.03
X304_0.03 X304_0.03 0.03
X305_0.03 X305_0.03 0.03
X306_0.03 X306_0.03 0.03
X307_0.03 X307_0.03 0.03
X308_0.03 X308_0.03 0.03
X309_0.03 X309_0.03 0.03
X310_0.03 X310_0.03 0.03
X311_0.03 X311_0.03 0.03
X312_0.03 X312_0.03 0.03
X313_0.03 X313_0.03 0.03
X314_0.03 X314_0.03 0.03
X315_0.03 X315_0.03 0.03
X316_0.03 X316_0.03 0.03
X317_0.03 X317_0.03 0.03
X318_0.03 X318_0.03 0.03
X319_0.03 X319_0.03 0.03
X320_0.03 X320_0.03 0.03
X321_0.03 X321_0.03 0.03
X322_0.03 X322_0.03 0.03
X323_0.03 X323_0.03 0.03
X324_0.03 X324_0.03 0.03
X325_0.03 X325_0.03 0.03
X326_0.03 X326_0.03 0.03
X327_0.03 X327_0.03 0.03
X328_0.03 X328_0.03 0.03
X329_0.03 X329_0.03 0.03
X330_0.03 X330_0.03 0.03
X331_0.03 X331_0.03 0.03
X332_0.03 X332_0.03 0.03
X333_0.03 X333_0.03 0.03
X334_0.03 X334_0.03 0.03
X335_0.03 X335_0.03 0.03
X336_0.03 X336_0.03 0.03
X337_0.03 X337_0.03 0.03
X338_0.03 X338_0.03 0.03
X339_0.03 X339_0.03 0.03
X340_0.03 X340_0.03 0.03
X341_0.03 X341_0.03 0.03
X342_0.03 X342_0.03 0.03
X343_0.03 X343_0.03 0.03
X344_0.03 X344_0.03 0.03
X345_0.03 X345_0.03 0.03
X346_0.03 X346_0.03 0.03
X347_0.03 X347_0.03 0.03
X348_0.03 X348_0.03 0.03
X349_0.03 X349_0.03 0.03
X350_0.03 X350_0.03 0.03
X351_0.03 X351_0.03 0.03
X352_0.03 X352_0.03 0.03
X353_0.03 X353_0.03 0.03
X354_0.03 X354_0.03 0.03
X355_0.03 X355_0.03 0.03
X356_0.03 X356_0.03 0.03
X357_0.03 X357_0.03 0.03
X358_0.03 X358_0.03 0.03
X359_0.03 X359_0.03 0.03
X360_0.03 X360_0.03 0.03
X361_0.03 X361_0.03 0.03
X362_0.03 X362_0.03 0.03
X363_0.03 X363_0.03 0.03
X364_0.03 X364_0.03 0.03
X365_0.03 X365_0.03 0.03
X366_0.03 X366_0.03 0.03
X367_0.03 X367_0.03 0.03
X368_0.03 X368_0.03 0.03
X369_0.03 X369_0.03 0.03
X370_0.03 X370_0.03 0.03
X371_0.03 X371_0.03 0.03
X372_0.03 X372_0.03 0.03
X373_0.03 X373_0.03 0.03
X374_0.03 X374_0.03 0.03
X375_0.03 X375_0.03 0.03
X376_0.03 X376_0.03 0.03
X377_0.03 X377_0.03 0.03
X378_0.03 X378_0.03 0.03
X379_0.03 X379_0.03 0.03
X380_0.03 X380_0.03 0.03
X381_0.03 X381_0.03 0.03
X382_0.03 X382_0.03 0.03
X383_0.03 X383_0.03 0.03
X384_0.03 X384_0.03 0.03
X385_0.03 X385_0.03 0.03
X386_0.03 X386_0.03 0.03
X387_0.03 X387_0.03 0.03
X388_0.03 X388_0.03 0.03
X389_0.03 X389_0.03 0.03
X390_0.03 X390_0.03 0.03
X391_0.03 X391_0.03 0.03
X392_0.03 X392_0.03 0.03
X393_0.03 X393_0.03 0.03
X394_0.03 X394_0.03 0.03
X395_0.03 X395_0.03 0.03
X396_0.03 X396_0.03 0.03
X397_0.03 X397_0.03 0.03
X398_0.03 X398_0.03 0.03
X399_0.03 X399_0.03 0.03
X400_0.03 X400_0.03 0.03
X401_0.03 X401_0.03 0.03
X402_0.03 X402_0.03 0.03
X403_0.03 X403_0.03 0.03
X404_0.03 X404_0.03 0.03
X405_0.03 X405_0.03 0.03
X406_0.03 X406_0.03 0.03
X407_0.03 X407_0.03 0.03
X408_0.03 X408_0.03 0.03
X409_0.03 X409_0.03 0.03
X410_0.03 X410_0.03 0.03
X411_0.03 X411_0.03 0.03
X412_0.03 X412_0.03 0.03
X413_0.03 X413_0.03 0.03
X414_0.03 X414_0.03 0.03
X415_0.03 X415_0.03 0.03
X416_0.03 X416_0.03 0.03
X417_0.03 X417_0.03 0.03
X418_0.03 X418_0.03 0.03
X419_0.03 X419_0.03 0.03
X420_0.03 X420_0.03 0.03
X421_0.03 X421_0.03 0.03
X422_0.03 X422_0.03 0.03
X423_0.03 X423_0.03 0.03
X424_0.03 X424_0.03 0.03
X425_0.03 X425_0.03 0.03
X426_0.03 X426_0.03 0.03
X427_0.03 X427_0.03 0.03
X428_0.03 X428_0.03 0.03
X429_0.03 X429_0.03 0.03
X430_0.03 X430_0.03 0.03
X431_0.03 X431_0.03 0.03
X432_0.03 X432_0.03 0.03
X433_0.03 X433_0.03 0.03
X434_0.03 X434_0.03 0.03
X435_0.03 X435_0.03 0.03
X436_0.03 X436_0.03 0.03
X437_0.03 X437_0.03 0.03
X438_0.03 X438_0.03 0.03
X439_0.03 X439_0.03 0.03
X440_0.03 X440_0.03 0.03
X441_0.03 X441_0.03 0.03
X442_0.03 X442_0.03 0.03
X443_0.03 X443_0.03 0.03
X444_0.03 X444_0.03 0.03
X445_0.03 X445_0.03 0.03
X446_0.03 X446_0.03 0.03
X447_0.03 X447_0.03 0.03
X448_0.03 X448_0.03 0.03
X449_0.03 X449_0.03 0.03
X450_0.03 X450_0.03 0.03
X451_0.03 X451_0.03 0.03
X452_0.03 X452_0.03 0.03
X453_0.03 X453_0.03 0.03
X454_0.03 X454_0.03 0.03
X455_0.03 X455_0.03 0.03
X456_0.03 X456_0.03 0.03
X457_0.03 X457_0.03 0.03
X458_0.03 X458_0.03 0.03
X459_0.03 X459_0.03 0.03
X460_0.03 X460_0.03 0.03
X461_0.03 X461_0.03 0.03
X462_0.03 X462_0.03 0.03
X463_0.03 X463_0.03 0.03
X464_0.03 X464_0.03 0.03
X465_0.03 X465_0.03 0.03
X466_0.03 X466_0.03 0.03
X467_0.03 X467_0.03 0.03
X468_0.03 X468_0.03 0.03
X469_0.03 X469_0.03 0.03
X470_0.03 X470_0.03 0.03
X471_0.03 X471_0.03 0.03
X472_0.03 X472_0.03 0.03
X473_0.03 X473_0.03 0.03
X474_0.03 X474_0.03 0.03
X475_0.03 X475_0.03 0.03
X476_0.03 X476_0.03 0.03
X477_0.03 X477_0.03 0.03
X478_0.03 X478_0.03 0.03
X479_0.03 X479_0.03 0.03
X480_0.03 X480_0.03 0.03
X481_0.03 X481_0.03 0.03
X482_0.03 X482_0.03 0.03
X483_0.03 X483_0.03 0.03
X484_0.03 X484_0.03 0.03
X485_0.03 X485_0.03 0.03
X486_0.03 X486_0.03 0.03
X487_0.03 X487_0.03 0.03
X488_0.03 X488_0.03 0.03
X489_0.03 X489_0.03 0.03
X490_0.03 X490_0.03 0.03
X491_0.03 X491_0.03 0.03
X492_0.03 X492_0.03 0.03
X493_0.03 X493_0.03 0.03
X494_0.03 X494_0.03 0.03
X495_0.03 X495_0.03 0.03
X496_0.03 X496_0.03 0.03
X497_0.03 X497_0.03 0.03
X498_0.03 X498_0.03 0.03
X499_0.03 X499_0.03 0.03
X500_0.03 X500_0.03 0.03
X1_0.1 X1_0.1 0.1
X2_0.1 X2_0.1 0.1
X3_0.1 X3_0.1 0.1
X4_0.1 X4_0.1 0.1
X5_0.1 X5_0.1 0.1
X6_0.1 X6_0.1 0.1
X7_0.1 X7_0.1 0.1
X8_0.1 X8_0.1 0.1
X9_0.1 X9_0.1 0.1
X10_0.1 X10_0.1 0.1
X11_0.1 X11_0.1 0.1
X12_0.1 X12_0.1 0.1
X13_0.1 X13_0.1 0.1
X14_0.1 X14_0.1 0.1
X15_0.1 X15_0.1 0.1
X16_0.1 X16_0.1 0.1
X17_0.1 X17_0.1 0.1
X18_0.1 X18_0.1 0.1
X19_0.1 X19_0.1 0.1
X20_0.1 X20_0.1 0.1
X21_0.1 X21_0.1 0.1
X22_0.1 X22_0.1 0.1
X23_0.1 X23_0.1 0.1
X24_0.1 X24_0.1 0.1
X25_0.1 X25_0.1 0.1
X26_0.1 X26_0.1 0.1
X27_0.1 X27_0.1 0.1
X28_0.1 X28_0.1 0.1
X29_0.1 X29_0.1 0.1
X30_0.1 X30_0.1 0.1
X31_0.1 X31_0.1 0.1
X32_0.1 X32_0.1 0.1
X33_0.1 X33_0.1 0.1
X34_0.1 X34_0.1 0.1
X35_0.1 X35_0.1 0.1
X36_0.1 X36_0.1 0.1
X37_0.1 X37_0.1 0.1
X38_0.1 X38_0.1 0.1
X39_0.1 X39_0.1 0.1
X40_0.1 X40_0.1 0.1
X41_0.1 X41_0.1 0.1
X42_0.1 X42_0.1 0.1
X43_0.1 X43_0.1 0.1
X44_0.1 X44_0.1 0.1
X45_0.1 X45_0.1 0.1
X46_0.1 X46_0.1 0.1
X47_0.1 X47_0.1 0.1
X48_0.1 X48_0.1 0.1
X49_0.1 X49_0.1 0.1
X50_0.1 X50_0.1 0.1
X51_0.1 X51_0.1 0.1
X52_0.1 X52_0.1 0.1
X53_0.1 X53_0.1 0.1
X54_0.1 X54_0.1 0.1
X55_0.1 X55_0.1 0.1
X56_0.1 X56_0.1 0.1
X57_0.1 X57_0.1 0.1
X58_0.1 X58_0.1 0.1
X59_0.1 X59_0.1 0.1
X60_0.1 X60_0.1 0.1
X61_0.1 X61_0.1 0.1
X62_0.1 X62_0.1 0.1
X63_0.1 X63_0.1 0.1
X64_0.1 X64_0.1 0.1
X65_0.1 X65_0.1 0.1
X66_0.1 X66_0.1 0.1
X67_0.1 X67_0.1 0.1
X68_0.1 X68_0.1 0.1
X69_0.1 X69_0.1 0.1
X70_0.1 X70_0.1 0.1
X71_0.1 X71_0.1 0.1
X72_0.1 X72_0.1 0.1
X73_0.1 X73_0.1 0.1
X74_0.1 X74_0.1 0.1
X75_0.1 X75_0.1 0.1
X76_0.1 X76_0.1 0.1
X77_0.1 X77_0.1 0.1
X78_0.1 X78_0.1 0.1
X79_0.1 X79_0.1 0.1
X80_0.1 X80_0.1 0.1
X81_0.1 X81_0.1 0.1
X82_0.1 X82_0.1 0.1
X83_0.1 X83_0.1 0.1
X84_0.1 X84_0.1 0.1
X85_0.1 X85_0.1 0.1
X86_0.1 X86_0.1 0.1
X87_0.1 X87_0.1 0.1
X88_0.1 X88_0.1 0.1
X89_0.1 X89_0.1 0.1
X90_0.1 X90_0.1 0.1
X91_0.1 X91_0.1 0.1
X92_0.1 X92_0.1 0.1
X93_0.1 X93_0.1 0.1
X94_0.1 X94_0.1 0.1
X95_0.1 X95_0.1 0.1
X96_0.1 X96_0.1 0.1
X97_0.1 X97_0.1 0.1
X98_0.1 X98_0.1 0.1
X99_0.1 X99_0.1 0.1
X100_0.1 X100_0.1 0.1
X101_0.1 X101_0.1 0.1
X102_0.1 X102_0.1 0.1
X103_0.1 X103_0.1 0.1
X104_0.1 X104_0.1 0.1
X105_0.1 X105_0.1 0.1
X106_0.1 X106_0.1 0.1
X107_0.1 X107_0.1 0.1
X108_0.1 X108_0.1 0.1
X109_0.1 X109_0.1 0.1
X110_0.1 X110_0.1 0.1
X111_0.1 X111_0.1 0.1
X112_0.1 X112_0.1 0.1
X113_0.1 X113_0.1 0.1
X114_0.1 X114_0.1 0.1
X115_0.1 X115_0.1 0.1
X116_0.1 X116_0.1 0.1
X117_0.1 X117_0.1 0.1
X118_0.1 X118_0.1 0.1
X119_0.1 X119_0.1 0.1
X120_0.1 X120_0.1 0.1
X121_0.1 X121_0.1 0.1
X122_0.1 X122_0.1 0.1
X123_0.1 X123_0.1 0.1
X124_0.1 X124_0.1 0.1
X125_0.1 X125_0.1 0.1
X126_0.1 X126_0.1 0.1
X127_0.1 X127_0.1 0.1
X128_0.1 X128_0.1 0.1
X129_0.1 X129_0.1 0.1
X130_0.1 X130_0.1 0.1
X131_0.1 X131_0.1 0.1
X132_0.1 X132_0.1 0.1
X133_0.1 X133_0.1 0.1
X134_0.1 X134_0.1 0.1
X135_0.1 X135_0.1 0.1
X136_0.1 X136_0.1 0.1
X137_0.1 X137_0.1 0.1
X138_0.1 X138_0.1 0.1
X139_0.1 X139_0.1 0.1
X140_0.1 X140_0.1 0.1
X141_0.1 X141_0.1 0.1
X142_0.1 X142_0.1 0.1
X143_0.1 X143_0.1 0.1
X144_0.1 X144_0.1 0.1
X145_0.1 X145_0.1 0.1
X146_0.1 X146_0.1 0.1
X147_0.1 X147_0.1 0.1
X148_0.1 X148_0.1 0.1
X149_0.1 X149_0.1 0.1
X150_0.1 X150_0.1 0.1
X151_0.1 X151_0.1 0.1
X152_0.1 X152_0.1 0.1
X153_0.1 X153_0.1 0.1
X154_0.1 X154_0.1 0.1
X155_0.1 X155_0.1 0.1
X156_0.1 X156_0.1 0.1
X157_0.1 X157_0.1 0.1
X158_0.1 X158_0.1 0.1
X159_0.1 X159_0.1 0.1
X160_0.1 X160_0.1 0.1
X161_0.1 X161_0.1 0.1
X162_0.1 X162_0.1 0.1
X163_0.1 X163_0.1 0.1
X164_0.1 X164_0.1 0.1
X165_0.1 X165_0.1 0.1
X166_0.1 X166_0.1 0.1
X167_0.1 X167_0.1 0.1
X168_0.1 X168_0.1 0.1
X169_0.1 X169_0.1 0.1
X170_0.1 X170_0.1 0.1
X171_0.1 X171_0.1 0.1
X172_0.1 X172_0.1 0.1
X173_0.1 X173_0.1 0.1
X174_0.1 X174_0.1 0.1
X175_0.1 X175_0.1 0.1
X176_0.1 X176_0.1 0.1
X177_0.1 X177_0.1 0.1
X178_0.1 X178_0.1 0.1
X179_0.1 X179_0.1 0.1
X180_0.1 X180_0.1 0.1
X181_0.1 X181_0.1 0.1
X182_0.1 X182_0.1 0.1
X183_0.1 X183_0.1 0.1
X184_0.1 X184_0.1 0.1
X185_0.1 X185_0.1 0.1
X186_0.1 X186_0.1 0.1
X187_0.1 X187_0.1 0.1
X188_0.1 X188_0.1 0.1
X189_0.1 X189_0.1 0.1
X190_0.1 X190_0.1 0.1
X191_0.1 X191_0.1 0.1
X192_0.1 X192_0.1 0.1
X193_0.1 X193_0.1 0.1
X194_0.1 X194_0.1 0.1
X195_0.1 X195_0.1 0.1
X196_0.1 X196_0.1 0.1
X197_0.1 X197_0.1 0.1
X198_0.1 X198_0.1 0.1
X199_0.1 X199_0.1 0.1
X200_0.1 X200_0.1 0.1
X201_0.1 X201_0.1 0.1
X202_0.1 X202_0.1 0.1
X203_0.1 X203_0.1 0.1
X204_0.1 X204_0.1 0.1
X205_0.1 X205_0.1 0.1
X206_0.1 X206_0.1 0.1
X207_0.1 X207_0.1 0.1
X208_0.1 X208_0.1 0.1
X209_0.1 X209_0.1 0.1
X210_0.1 X210_0.1 0.1
X211_0.1 X211_0.1 0.1
X212_0.1 X212_0.1 0.1
X213_0.1 X213_0.1 0.1
X214_0.1 X214_0.1 0.1
X215_0.1 X215_0.1 0.1
X216_0.1 X216_0.1 0.1
X217_0.1 X217_0.1 0.1
X218_0.1 X218_0.1 0.1
X219_0.1 X219_0.1 0.1
X220_0.1 X220_0.1 0.1
